Group	enriched	indval	pvalue	freq	total_reads	Kingdom	Phylum	Class	Order	Family	Genus	ASV_ID
ASV1	normoxic	0.863780138457866	0.014	8	52810	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	ASV1
ASV10	hypoxic	0.999161542761319	0.024	4	2148	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Family_Arcobacteraceae	ASV10
ASV100					272	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade	Family_PS1_clade	ASV100
ASV101	hypoxic	1	0.017	3	268	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Trichodesmium_IMS101	ASV101
ASV102	hypoxic	1	0.02	3	266	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Amphritea	ASV102
ASV103	hypoxic	0.812660393498717	0.016	7	263	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Family_Flavobacteriaceae	ASV103
ASV104	hypoxic	1	0.026	3	259	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Family_Flavobacteriaceae	ASV104
ASV105	normoxic	0.846625766871166	0.038	7	255	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group	ASV105
ASV106	normoxic	1	0.023	5	253	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	Order_SAR86_clade	Order_SAR86_clade	ASV106
ASV107					251	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Family_Rhodobacteraceae	ASV107
ASV108					248	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36	Order_HOC36	Order_HOC36	ASV108
ASV109					239	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	ASV109
ASV11	hypoxic	1	0.018	3	2069	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Family_Rhodobacteraceae	ASV11
ASV110					234	Bacteria	Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	ASV110
ASV111	normoxic	1	0.015	5	226	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Order_Marine_Group_II	Order_Marine_Group_II	ASV111
ASV112					225	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade	Order_OM182_clade	Order_OM182_clade	ASV112
ASV113	normoxic	1	0.024	5	222	Bacteria	Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	ASV113
ASV114					218	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	Family_NS9_marine_group	ASV114
ASV115	hypoxic	1	0.026	3	218	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Family_Marinilabiliaceae	ASV115
ASV116					218	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudooceanicola	ASV116
ASV117	normoxic	1	0.02	5	214	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_II	Family_Clade_II	ASV117
ASV118	normoxic	1	0.029	5	213	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Family_Thiotrichaceae	ASV118
ASV119					212	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	ASV119
ASV12	normoxic	0.864479315263909	0.023	8	1989	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	ASV12
ASV120					208	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Order_Marine_Group_II	Order_Marine_Group_II	ASV120
ASV121					207	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	Family_NS9_marine_group	ASV121
ASV123					206	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	Family_NS9_marine_group	ASV123
ASV124					204	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	ASV124
ASV125					201	Bacteria	Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	ASV125
ASV126	normoxic	0.983108108108108	0.021	6	196	Bacteria	Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	ASV126
ASV127	hypoxic	1	0.03	3	193	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Family_Rubinisphaeraceae	ASV127
ASV128	hypoxic	0.927947598253275	0.023	4	192	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Family_Cryomorphaceae	ASV128
ASV129					190	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	mle1-7	ASV129
ASV13	hypoxic	1	0.02	3	1977	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Family_Rhodobacteraceae	ASV13
