CLASS	WROL_1914	WCCR_1913	WCCR_1916	WROL_1915
Aconoidasida	0	424	524	0
Actinobacteria	4700	3029	3626	3506
Alphaproteobacteria	82381	30978	70093	30166
Bacillariophyceae	621	305	369	0
Bacilli	1895	1014	1489	1217
Bacteroidia	751	0	315	0
Betaproteobacteria	5061	1433	2028	1729
Chlorophyceae	0	0	340	0
Clostridia	1157	655	947	853
Conoidasida	0	515	655	0
Coscinodiscophyceae	408	0	0	0
Cytophagia	914	339	585	368
Deltaproteobacteria	1960	404	440	481
Dothideomycetes	0	0	358	0
Epsilonproteobacteria	31043	479	614	584
Eurotiomycetes	435	469	749	489
Flavobacteriia	9609	3908	4457	3415
Florideophyceae	0	307	421	0
Gammaproteobacteria	36274	6166	7333	6665
Haptophyta	0	435	659	499
Leotiomycetes	0	275	367	0
Mamiellophyceae	1217	3316	15026	4494
Mollicutes	337	0	370	0
Myoviridae	33631	64284	61486	96680
Nostocales	576	0	0	0
Opitutae	335	0	0	0
Oscillatoriales	11880	0	0	0
Planctomycetes_bacterium_Poly30	442	0	0	0
Planctomycetia	411	0	0	0
Podoviridae	3507	4075	5981	6144
Prasinovirus	0	0	545	0
Saccharomycetes	542	568	724	578
Siphoviridae	489	372	1091	1501
Sordariomycetes	534	733	1011	701
Sphingobacteriia	501	0	0	0
Synechococcales	57576	124770	95428	171559
Unknown_t_domain_Bacteria	3060	1376	1757	1669
Unknown_t_domain_Viruses	2209	1979	3710	4808
Unknown_t_phylum_Dinophyceae	0	0	289	0
Unknown_t_phylum_Marine_virus_AFVG_117M32	0	0	399	786
Unknown_t_phylum_Marine_virus_AFVG_117M37	0	0	346	449
Unknown_t_phylum_Marine_virus_AFVG_117M41	0	0	300	680
Unknown_t_phylum_Marine_virus_AFVG_117M42	0	0	374	809
Unknown_t_phylum_Marine_virus_AFVG_117M61	0	0	0	566
Unknown_t_phylum_Marine_virus_AFVG_25M211	443	0	0	0
Unknown_t_phylum_Marine_virus_AFVG_25M39	0	0	0	556
Unknown_t_phylum_Marine_virus_AFVG_25M77	0	0	311	456
Unknown_t_phylum_Marine_virus_AFVG_25M83	0	0	297	446
Unknown_t_phylum_Marine_virus_AFVG_25M87	0	0	290	0
Unknown_t_phylum_Planctomycetes	540	0	0	0
Unknown_t_phylum_Prokaryotic_dsDNA_virus_sp	1184	993	1666	2679
Unknown_t_phylum_Proteobacteria	1823	462	599	589
