bin_name	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Aliiarcobacter_faecis_AF1078	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter faecis
Arcobacter_anaerophilus_DSM_24636_A	21	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter anaerophilus
Arcobacter_anaerophilus_IR_1	21	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter anaerophilus
Arcobacter_aquimarinus_CECT_8442	19	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_ED_1	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_JV22_A	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L348	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L349	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L351	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L352	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_RM4018	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_canalis_F138_33	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter canalis
Arcobacter_cibarius_LMG_21996	22	15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter cibarius
Arcobacter_cloacae_CECT_7834	19	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
