samples	longitude	latitude	ocean	type
EPM_12A1	-81.758797	7.618822	EP	mangrove
EPM_12A2	-81.759288	7.619011	EP	mangrove
EPM_12A3	-81.760965	7.619908	EP	mangrove
EPM_12A4	-81.766157	7.620643	EP	mangrove
EPM_13A1	-81.732981	7.466203	EP	mangrove
EPM_13A2	-81.733042	7.466131	EP	mangrove
EPM_13A3	-81.726241	7.465868	EP	mangrove
EPM_13A4	-81.722228	7.462678	EP	mangrove
EPM_14A1	-81.666745	7.378603	EP	mangrove
EPM_14A2	-81.665163	7.374182	EP	mangrove
EPM_14A3	-81.653954	7.370749	EP	mangrove
EPM_14A4	-81.644781	7.385914	EP	mangrove
EPR_10A	-82.011195	7.95185	EP	reef
EPR_10B	-81.712814	7.593778	EP	reef
EPR_11A	-81.665283	7.402954	EP	reef
EPR_11B	-81.662832	7.401255	EP	reef
EPR_11C	-81.669556	7.401817	EP	reef
EPR_13B	-81.662832	7.401255	EP	reef
EPR_13C	-81.669556	7.401817	EP	reef
EPR_14B	-81.758922	7.815128	EP	reef
EPR_14C	-81.759204	7.815028	EP	reef
EPR_14E	-81.741495	7.639561	EP	reef
EPR_15A	-81.719237	7.633623	EP	reef
EPR_15B	-81.632929	7.695942	EP	reef
EPR_8A	-81.632929	7.695942	EP	reef
EPR_8B	-81.71321	7.592639	EP	reef
EPR_9A	-81.758922	7.815128	EP	reef
EPR_9B	-81.759204	7.815028	EP	reef
