genome_id	isolation_category	organism	strain_or_isolate	sample_information	bioproject	biosample	assembly_accession	taxid	species_taxid	doi_publication	assembly_level	seq_rel_date	ftp_path	submitter
_Arcobacter_porcinus_117434	vertebrate_host	[Arcobacter] porcinus	117434	pig|aborted fetus tissue	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA283165" target="_blank">PRJNA283165</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN03609681" target="_blank">SAMN03609681</a>	GCA_001695265.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1935204" target="_blank">1935204</a>	1935204	no pub	Contig	7/26/16	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/265/GCA_001695265.1_ASM169526v1" target="_blank">FTP link</a>	Ghent University
_Arcobacter_porcinus_213	vertebrate_host	[Arcobacter] porcinus	213	Pig|slaughter house|Pig feces	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA282911" target="_blank">PRJNA282911</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN03580792" target="_blank">SAMN03580792</a>	GCA_001695195.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1935204" target="_blank">1935204</a>	1935204	no pub	Contig	7/26/16	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/195/GCA_001695195.1_ASM169519v1" target="_blank">FTP link</a>	Ghent University
_Arcobacter_porcinus_216	vertebrate_host	[Arcobacter] porcinus	216	pig|feces	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA282917" target="_blank">PRJNA282917</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN03580808" target="_blank">SAMN03580808</a>	GCA_001695235.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1935204" target="_blank">1935204</a>	1935204	no pub	Contig	7/26/16	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/235/GCA_001695235.1_ASM169523v1" target="_blank">FTP link</a>	Ghent University
_Arcobacter_porcinus_CCUG_56899	vertebrate_host	[Arcobacter] porcinus	CCUG 56899	Aborted piglet fetus	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA521386" target="_blank">PRJNA521386</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN10884417" target="_blank">SAMN10884417</a>	GCA_004299785.2	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1935204" target="_blank">1935204</a>	1935204	<a href="https://doi.org/10.1016/j.nmni.2016.11.014" target="_blank">DOI</a>	Complete Genome	9/13/19	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/299/785/GCA_004299785.2_ASM429978v2" target="_blank">FTP link</a>	USDA, ARS, WRRC
_Arcobacter_porcinus_DU19	vertebrate_host	[Arcobacter] porcinus	DU19	Duck|cloaca content	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA283166" target="_blank">PRJNA283166</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN03609682" target="_blank">SAMN03609682</a>	GCA_001695315.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1564138" target="_blank">1564138</a>	1935204	no pub	Contig	7/26/16	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/315/GCA_001695315.1_ASM169531v1" target="_blank">FTP link</a>	Ghent University
Aliiarcobacter_faecis_AF1078	sewage	Aliiarcobacter faecis	AF1078	Homo sapiens|human sewage tank no 10	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA235201" target="_blank">PRJNA235201</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN02951872" target="_blank">SAMN02951872</a>	GCA_000585155.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=877500" target="_blank">877500</a>	1564138	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Scaffold	3/4/14	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/155/GCA_000585155.1_Arcobacter_septicus_AF1078" target="_blank">FTP link</a>	Agriculture and Agri-Food Canada
Arcobacter_anaerophilus_DSM_24636_A	marine_subsurface	Arcobacter anaerophilus	DSM 24636	Estuarine sediment	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA412344" target="_blank">PRJNA412344</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07767207" target="_blank">SAMN07767207</a>	GCA_004116345.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=877500" target="_blank">877500</a>	877500	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	1/28/19	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/345/GCA_004116345.1_ASM411634v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_anaerophilus_IR_1	marine_subsurface	Arcobacter anaerophilus	IR-1	Aquifer	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA273926" target="_blank">PRJNA273926</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN03316823" target="_blank">SAMN03316823</a>	GCA_000935065.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1315211" target="_blank">1315211</a>	877500	<a href="https://doi.org/10.3389/fmicb.2015.00987" target="_blank">DOI</a>	Contig	2/27/15	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/935/065/GCA_000935065.1_ASM93506v1" target="_blank">FTP link</a>	Centre for Geobiology
Arcobacter_aquimarinus_CECT_8442	marine_surface	Arcobacter aquimarinus	CECT 8442	Mediterranean sea	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA412344" target="_blank">PRJNA412344</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07709792" target="_blank">SAMN07709792</a>	GCA_004115795.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=944546" target="_blank">944546</a>	1315211	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	1/28/19	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/795/GCA_004115795.1_ASM411579v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_butzleri_ED_1	fuel_cell	Arcobacter butzleri ED-1	ED-1	fuel_cell	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJDA61719" target="_blank">PRJDA61719</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMD00060980" target="_blank">SAMD00060980</a>	GCA_000284355.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=888827" target="_blank">888827</a>	28197	<a href="https://doi.org/10.1128/JB.06084-11" target="_blank">DOI</a>	Complete Genome	9/2/11	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/355/GCA_000284355.1_ASM28435v1" target="_blank">FTP link</a>	Center for Computational and Quantitative Life Science, RIKEN
