	input	filtered	denoisedF	denoisedR	merged	nonchim
CCC1	34693	27522	27183	26921	23181	22842
CCC2	6990	5410	5240	5284	2795	2093
CCC3	1939	1503	1434	1438	1279	1242
CCC4	948	725	648	651	550	539
CCC5	10800	9519	9381	9267	8987	8863
CCC6	1252	929	858	848	750	686
CCR1	3805	2535	2410	2409	530	529
CCR2	2712	2007	1891	1896	1307	1240
CCR3	5646	4180	4031	4051	2298	2185
CCR4	1612	1235	1146	1152	1022	942
CCR5	1987	1356	1256	1276	1149	560
CCR6	11754	8439	8253	8283	453	418
MCR1	45029	39245	36005	37341	24424	22200
MCR2	28637	24640	22399	23356	14768	13707
MCR3	21959	18948	16295	17518	10079	8650
MCR5	23939	21145	19301	19827	13874	12312
SCC1	28078	23636	19549	21661	12236	11326
SCC2	33318	28622	25263	26567	19468	18237
SCC3	27235	23189	19364	21191	12670	11748
SCR1	27920	23803	19684	21675	14384	13318
SCR2	28853	24920	19303	22635	11304	10140
SCR3	28659	24503	20000	22105	13377	12212
WCC0	48240	40755	38943	39257	32969	29192
WCC1	39465	33870	32397	32743	28612	26385
WCC2	36204	31001	30010	30090	27176	25752
WCC3	31084	25769	24881	25095	22609	21652
WCR0	48988	42175	40726	41108	35029	30831
WCR1	22547	19276	18329	18447	14976	13388
WCR2	25670	22175	20813	21220	16273	14085
WCR3	62115	54370	52192	52606	43027	34324
