	input	filtered
CCC1	34693	27522
CCC2	6990	5410
CCC3	1939	1503
CCC4	948	725
CCC5	10800	9519
CCC6	1252	929
CCR1	3805	2535
CCR2	2712	2007
CCR3	5646	4180
CCR4	1612	1235
CCR5	1987	1356
CCR6	11754	8439
MCR1	45029	39245
MCR2	28637	24640
MCR3	21959	18948
MCR5	23939	21145
SCC1	28078	23636
SCC2	33318	28622
SCC3	27235	23189
SCR1	27920	23803
SCR2	28853	24920
SCR3	28659	24503
WCC0	48240	40755
WCC1	39465	33870
WCC2	36204	31001
WCC3	31084	25769
WCR0	48988	42175
WCR1	22547	19276
WCR2	25670	22175
WCR3	62115	54370
