Sample_ID	Type	Site	input	filtered	denoisedF	denoisedR	merged	nonchim
CCC1	coral	Crawl_Caye	34693	27522	27183	26921	23181	22842
CCC2	coral	Crawl_Caye	6990	5410	5240	5284	2795	2093
CCC3	coral	Crawl_Caye	16866	15064	14720	14868	1698	1660
CCC4	coral	Crawl_Caye	2176	1564	1422	1422	819	804
CCC5	coral	Crawl_Caye	29360	26910	26555	26397	15987	15837
CCC6	coral	Crawl_Caye	2377	1497	1390	1380	984	916
CCR1	coral	Cayo_Roldan	3805	2535	2410	2409	530	529
CCR2	coral	Cayo_Roldan	16646	14675	14369	14482	1663	1587
CCR3	coral	Cayo_Roldan	19263	16647	16303	16279	2565	2438
CCR4	coral	Cayo_Roldan	3362	1543	1422	1425	1253	1168
CCR5	coral	Cayo_Roldan	3431	2129	1977	1978	1390	742
CCR6	coral	Cayo_Roldan	11754	8439	8253	8283	453	418
MCR1	mat	Cayo_Roldan	45029	39245	36005	37341	24424	22200
MCR2	mat	Cayo_Roldan	28637	24640	22399	23356	14768	13707
MCR3	mat	Cayo_Roldan	21959	18948	16295	17518	10079	8650
MCR5	mat	Cayo_Roldan	23939	21145	19301	19827	13874	12312
SCC1	sediment	Cayo_Roldan	28078	23636	19549	21661	12236	11326
SCC2	sediment	Cayo_Roldan	33318	28622	25263	26567	19468	18237
SCC3	sediment	Cayo_Roldan	27235	23189	19364	21191	12670	11748
SCR1	sediment	Cayo_Roldan	27920	23803	19684	21675	14384	13318
SCR2	sediment	Cayo_Roldan	28853	24920	19303	22635	11304	10140
SCR3	sediment	Cayo_Roldan	28659	24503	20000	22105	13377	12212
WCC0	water	Crawl_Caye	48240	40755	38943	39257	32969	29192
WCC1	water	Crawl_Caye	39465	33870	32397	32743	28612	26385
WCC2	water	Crawl_Caye	36204	31001	30010	30090	27176	25752
WCC3	water	Crawl_Caye	31084	25769	24881	25095	22609	21652
WCR0	water	Cayo_Roldan	48988	42175	40726	41108	35029	30831
WCR1	water	Cayo_Roldan	22547	19276	18329	18447	14976	13388
WCR2	water	Cayo_Roldan	25670	22175	20813	21220	16273	14085
WCR3	water	Cayo_Roldan	62115	54370	52192	52606	43027	34324
