	CCC1	CCC2	CCC3	CCC4	CCC5	CCC6	CCR1	CCR2	CCR3	CCR4	CCR5	CCR6	MCR1	MCR2	MCR3	MCR5	SCC1	SCC2	SCC3	SCR1	SCR2	SCR3	WCC0	WCC1	WCC2	WCC3	WCR0	WCR1	WCR2	WCR3
ASV1	16	0	0	2	5	0	0	9	0	0	0	0	22	17	13	17	63	71	25	7	0	0	8186	10249	9061	7399	13673	2024	1179	1424
ASV2	74	186	0	160	10521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	6	610	627	674	513	1236	639	325	442
ASV4	4572	0	29	0	0	0	0	0	0	0	0	0	71	116	17	10	0	0	0	0	0	0	0	0	0	0	0	9	24	94
ASV5	89	0	0	0	19	0	0	0	0	0	0	0	76	33	72	209	0	0	0	0	0	0	0	0	0	0	0	40	779	3290
ASV6	0	0	0	0	50	0	0	0	0	0	0	0	53	57	15	47	0	0	0	0	0	0	0	9	5	0	0	2347	624	821
ASV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1319	561	546	502	307	34	245	243
ASV8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	8	702	681	822	658	384	209	108	153
ASV9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	935	2204
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	2023	336	270	272	0	0	0	0
ASV11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	12	470	472	365	298	809	155	94	96
ASV12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	462	307	233	764	246	142	181
ASV13	2591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
