"Row.names","group","indval","pvalue","freq","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV1","normoxic",0.86297597119149,0.019,8,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902"
"ASV1029","hypoxic",1,0.021,3,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus"
"ASV103","hypoxic",1,0.021,3,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"ASV1037","hypoxic",1,0.02,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group",NA
"ASV105","hypoxic",1,0.012,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus_Thiobios"
"ASV106","normoxic",0.691011235955056,0.009,8,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade"
"ASV108","normoxic",1,0.021,5,"Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II",NA,NA
"ASV11","normoxic",0.807627969220475,0.02,8,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902"
"ASV110","normoxic",0.907289002557545,0.018,7,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius"
"ASV111","normoxic",0.944371727748691,0.023,6,"Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II",NA,NA
"ASV113","normoxic",0.915426251691475,0.015,6,"Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II",NA,NA
"ASV114","normoxic",0.783031088082902,0.017,7,"Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II",NA,NA
"ASV122","hypoxic",1,0.013,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Amphritea"
"ASV123","normoxic",0.898916967509025,0.016,8,"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV124","hypoxic",1,0.022,3,"Bacteria","Cyanobacteria","Oxyphotobacteria","Limnotrichales","Limnotrichaceae","Limnothrix"
"ASV1253","hypoxic",0.87719298245614,0.033,4,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Arctic97B-4_marine_group",NA,NA
"ASV1255","hypoxic",1,0.031,3,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae",NA
"ASV1256","hypoxic",1,0.023,3,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae",NA
"ASV1288","hypoxic",1,0.016,3,"Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
"ASV1295","hypoxic",1,0.02,3,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales",NA,NA
"ASV134","hypoxic",1,0.024,3,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium"
"ASV1354","hypoxic",1,0.019,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA
"ASV136","normoxic",1,0.022,5,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II",NA
"ASV138","normoxic",0.908256880733945,0.02,6,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","Candidatus_Puniceispirillum"
"ASV140","hypoxic",0.888888888888889,0.038,5,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group"
"ASV143","normoxic",1,0.021,5,"Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II",NA,NA
"ASV147","normoxic",1,0.01,5,"Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus_Actinomarina"
