Taxa	total reads	total ASVs
Acidimicrobiia	4800	12
Actinobacteria	37	3
Alphaproteobacteria	33727	160
Anaerolineae	7	2
BD7-11	100	5
Bacilli	6	2
Bacteroidia	32146	252
Campylobacteria	2431	7
Cloacimonadia	242	4
Clostridia	294	25
Dadabacteriia	148	2
Deferribacteres	67	5
Dehalococcoidia	38	2
Deltaproteobacteria	3924	122
Erysipelotrichia	18	3
Fusobacteriia	89	6
Gammaproteobacteria	19874	164
Gracilibacteria	3	1
Holophagae	8	2
Ignavibacteria	43	3
Kiritimatiellae	379	8
Lentisphaeria	37	6
Melainabacteria	30	2
Mollicutes	370	3
Negativicutes	3	1
Nitrososphaeria	24	3
OM190	910	15
Oligosphaeria	23	3
Oxyphotobacteria	71841	62
Phycisphaerae	847	23
Pla3_lineage	55	2
Planctomycetacia	1765	31
Rhodothermia	1758	6
Spirochaetia	219	15
Subgroup_22	2	1
Synergistia	1	1
Thermoanaerobaculia	5	1
Thermoplasmata	5936	30
Thermotogae	11	1
Verrucomicrobiae	1023	31
Woesearchaeia	108	9
vadinHA49	7	2
