ASV	group	indval	pvalue	freq
ASV3	1	1	0.021	3
ASV7	1	1	0.013	3
ASV11	1	1	0.018	3
ASV13	1	1	0.02	3
ASV16	1	1	0.014	3
ASV26	1	1	0.012	3
ASV27	1	1	0.018	3
ASV30	1	1	0.023	3
ASV37	1	1	0.015	3
ASV38	1	1	0.018	3
ASV41	1	1	0.016	3
ASV50	1	1	0.019	3
ASV59	1	1	0.015	3
ASV62	1	1	0.016	3
ASV64	1	1	0.024	3
ASV72	1	1	0.014	3
ASV99	1	1	0.021	3
ASV101	1	1	0.017	3
ASV102	1	1	0.02	3
ASV104	1	1	0.026	3
ASV115	1	1	0.026	3
ASV127	1	1	0.03	3
ASV130	1	1	0.016	3
ASV151	1	1	0.023	3
ASV156	1	1	0.023	3
ASV163	1	1	0.02	3
ASV183	1	1	0.018	3
ASV184	1	1	0.027	3
ASV186	1	1	0.018	3
ASV194	1	1	0.025	3
ASV200	1	1	0.017	3
ASV211	1	1	0.018	3
ASV222	1	1	0.026	3
ASV225	1	1	0.022	3
ASV232	1	1	0.013	3
ASV238	1	1	0.013	3
ASV251	1	1	0.017	3
ASV254	1	1	0.011	3
ASV267	1	1	0.015	3
ASV268	1	1	0.015	3
ASV270	1	1	0.024	3
ASV282	1	1	0.024	3
ASV291	1	1	0.025	3
ASV297	1	1	0.022	3
ASV301	1	1	0.016	3
ASV308	1	1	0.024	3
ASV319	1	1	0.02	3
ASV329	1	1	0.015	3
ASV334	1	1	0.021	3
ASV335	1	1	0.021	3
ASV347	1	1	0.021	3
ASV348	1	1	0.022	3
ASV355	1	1	0.014	3
ASV356	1	1	0.017	3
ASV360	1	1	0.014	3
ASV373	1	1	0.014	3
ASV383	1	1	0.018	3
ASV394	1	1	0.02	3
ASV397	1	1	0.022	3
ASV429	1	1	0.022	3
ASV439	1	1	0.017	3
ASV444	1	1	0.017	3
ASV533	1	1	0.018	3
ASV601	1	1	0.019	3
ASV10	1	0.999161542761319	0.024	4
ASV5	1	0.997868735996503	0.033	5
ASV243	1	0.96	0.015	4
ASV242	1	0.944148936170213	0.024	4
ASV40	1	0.942568465833555	0.042	5
ASV237	1	0.9375	0.015	4
ASV296	1	0.935251798561151	0.019	4
ASV53	1	0.930232558139535	0.011	7
ASV128	1	0.927947598253275	0.023	4
ASV164	1	0.89968152866242	0.048	5
ASV76	1	0.879351740696278	0.037	5
ASV392	1	0.87719298245614	0.037	4
ASV155	1	0.851063829787234	0.045	4
ASV281	1	0.830388692579505	0.047	4
ASV246	1	0.823529411764706	0.045	4
ASV175	1	0.823223570190641	0.048	4
ASV134	1	0.821428571428571	0.042	7
ASV103	1	0.812660393498717	0.016	7
ASV43	1	0.741998060135791	0.049	8
ASV15	2	1	0.021	5
ASV36	2	1	0.019	5
ASV45	2	1	0.018	5
ASV46	2	1	0.021	5
ASV47	2	1	0.019	5
ASV54	2	1	0.02	5
ASV57	2	1	0.025	5
ASV65	2	1	0.022	5
ASV75	2	1	0.017	5
ASV77	2	1	0.014	5
ASV78	2	1	0.018	5
ASV79	2	1	0.025	5
ASV95	2	1	0.021	5
ASV106	2	1	0.023	5
ASV111	2	1	0.015	5
ASV113	2	1	0.024	5
ASV117	2	1	0.02	5
ASV118	2	1	0.029	5
ASV133	2	1	0.021	5
ASV147	2	1	0.018	5
ASV152	2	1	0.024	5
ASV154	2	1	0.017	5
ASV180	2	1	0.015	5
ASV188	2	1	0.018	5
ASV189	2	1	0.01	5
ASV203	2	1	0.015	5
ASV219	2	1	0.016	5
ASV220	2	1	0.017	5
ASV233	2	1	0.018	5
ASV234	2	1	0.017	5
ASV235	2	1	0.018	5
ASV250	2	1	0.015	5
ASV435	2	1	0.017	5
ASV126	2	0.983108108108108	0.021	6
ASV80	2	0.956521739130435	0.02	6
ASV22	2	0.956316410861865	0.023	6
ASV66	2	0.943820224719101	0.015	6
ASV23	2	0.922907488986784	0.021	7
ASV90	2	0.920382165605096	0.019	6
ASV68	2	0.914383561643836	0.016	6
ASV81	2	0.914285714285714	0.022	6
ASV70	2	0.913860610806578	0.02	6
ASV18	2	0.913070800167574	0.011	7
ASV19	2	0.909090909090909	0.02	6
ASV131	2	0.906621392190153	0.018	7
ASV67	2	0.902534113060429	0.014	7
ASV71	2	0.898832684824903	0.02	8
ASV25	2	0.891250617894216	0.019	7
ASV29	2	0.886363636363636	0.014	7
ASV140	2	0.885159010600707	0.017	7
ASV24	2	0.883692458374143	0.016	8
ASV33	2	0.86819235225956	0.022	7
ASV87	2	0.867617107942973	0.013	7
ASV12	2	0.864479315263909	0.023	8
ASV1	2	0.863780138457866	0.014	8
ASV182	2	0.859335038363171	0.018	8
ASV96	2	0.847457627118644	0.019	6
ASV105	2	0.846625766871166	0.038	7
ASV160	2	0.835526315789474	0.023	7
ASV49	2	0.828571428571429	0.019	7
ASV17	2	0.812450903377848	0.011	8
ASV34	2	0.80736301369863	0.05	8
ASV91	2	0.805327868852459	0.019	7
ASV6	2	0.803420985448047	0.022	8
ASV39	2	0.795918367346939	0.031	8
ASV69	2	0.78646517739816	0.021	7
ASV4	2	0.785956777345367	0.014	8
ASV14	2	0.784490532010821	0.026	8
ASV89	2	0.766401590457257	0.016	7
ASV58	2	0.749173098125689	0.018	7
ASV214	2	0.745222929936306	0.028	7
ASV48	2	0.737550471063257	0.028	8
ASV35	2	0.688995215311005	0.039	8
ASV88	2	0.680150517403575	0.02	8
ASV93	2	0.67065868263473	0.023	8
ASV60	2	0.638903531892462	0.033	8
