genome_id	isolation_category	organism_name	strain_or_isolate	sample_information	bioproject	biosample	assembly_accession	taxid	species_taxid	doi_publication	assembly_level	seq_rel_date	ftp_path	submitter
Aliiroseovarius_crassostreae_CV919_312	invertebrate_host	Aliiroseovarius crassostreae	CV919-312	Crassostrea virginica | tissue sample	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA291771" target="_blank">PRJNA291771</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN03952659" target="_blank">SAMN03952659</a>	GCA_001307765.1	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/154981" target="_blank">154981</a>	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/154981" target="_blank">154981</a>	<a href="https://doi.org/10.1007/s10482-015-0480-9" target="_blank">DOI link</a>	Contig	10/7/15	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/765/GCA_001307765.1_ASM130776v1" target="_blank">FTP link</a>	University of Rhode Island
Aliiroseovarius_crassostreae_DSM_16950	invertebrate_host	Aliiroseovarius crassostreae	DSM 16950	Crassostrea virginica | tissue sample	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJEB17594" target="_blank">PRJEB17594</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN04488527" target="_blank">SAMN04488527</a>	GCA_900116725.1	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/154981" target="_blank">154981</a>	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/154981" target="_blank">154981</a>	<a href="https://doi.org/10.1007/s10482-015-0480-9" target="_blank">DOI link</a>	Scaffold	11/2/16	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/116/725/GCA_900116725.1_IMG-taxon_2619619030_annotated_assembly" target="_blank">FTP link</a>	DOE - JOINT GENOME INSTITUTE
Aliiroseovarius_halocynthiae_MA1_10	invertebrate_host	Aliiroseovarius halocynthiae	MA1-10	sea squirt	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA548260" target="_blank">PRJNA548260</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN12012166" target="_blank">SAMN12012166</a>	GCA_007004645.1	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/985055" target="_blank">985055</a>	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/985055" target="_blank">985055</a>	<a href="https://doi.org/10.1007/s10482-015-0480-9" target="_blank">DOI link</a>	Scaffold	7/15/19	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/004/645/GCA_007004645.1_ASM700464v1" target="_blank">FTP link</a>	Xinxiang Medical University
Aliiroseovarius_marinus_A6024	marine_surface	Aliiroseovarius marinus	A6024	seawater	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA512599" target="_blank">PRJNA512599</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN10688474" target="_blank">SAMN10688474</a>	GCA_004360145.1	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/2500159" target="_blank">2500159</a>	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/2500159" target="_blank">2500159</a>	<a href="https://doi.org/10.1099/ijsem.0.003757" target="_blank">DOI link</a>	Scaffold	3/22/19	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/360/145/GCA_004360145.1_ASM436014v1" target="_blank">FTP link</a>	Xinxiang Medical University
Aliiroseovarius_pelagivivens_CECT_8811	marine_surface	Aliiroseovarius pelagivivens	CECT 8811	seawater	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJEB25094" target="_blank">PRJEB25094</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMEA104628693" target="_blank">SAMEA104628693</a>	GCA_900302485.1	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/1639690" target="_blank">1639690</a>	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/1639690" target="_blank">1639690</a>	<a href="https://doi.org/10.1099/ijs.0.000315" target="_blank">DOI link</a>	Contig	4/24/18	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/302/485/GCA_900302485.1_A.pelagivivensCECT8811_Spades_Prokka" target="_blank">FTP link</a>	UVEG
Aliiroseovarius_sediminilitoris_DSM_29439	marine_subsurface	Aliiroseovarius sediminilitoris	DSM 29439	seashore sediment	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJEB16889" target="_blank">PRJEB16889</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN05444851" target="_blank">SAMN05444851</a>	GCA_900109955.1	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/1173584" target="_blank">1173584</a>	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/1173584" target="_blank">1173584</a>	<a href="https://doi.org/10.1601/nm.27095" target="_blank">DOI link</a>	Contig	10/31/16	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/955/GCA_900109955.1_IMG-taxon_2687453744_annotated_assembly" target="_blank">FTP link</a>	DOE - JOINT GENOME INSTITUTE
Aliiroseovarius_sp_PrR006	marine_subsurface	Aliiroseovarius sp. PrR006	PrR006	sediment | Pearl River Estuary, Guangdong	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA604869" target="_blank">PRJNA604869</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN14001050" target="_blank">SAMN14001050</a>	GCA_010500215.1	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/2706883" target="_blank">2706883</a>	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/2706883" target="_blank">2706883</a>	<a href="https://doi.org/10.1016/j.ibiod.2020.104961" target="_blank">DOI link</a>	Contig	2/12/20	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/500/215/GCA_010500215.1_ASM1050021v1" target="_blank">FTP link</a>	Shantou University
Aliiroseovarius_sp_xm_a_134	marine_surface	Aliiroseovarius sp. xm-a-134	xm-a-134	coastal seawater	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA575125" target="_blank">PRJNA575125</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN12878183" target="_blank">SAMN12878183</a>	GCA_013283605.1	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/2651823" target="_blank">2651823</a>	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/2651823" target="_blank">2651823</a>	no_pub	Contig	6/6/20	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/605/GCA_013283605.1_ASM1328360v1" target="_blank">FTP link</a>	The Chinese University of Hong Kong
Aliiroseovarius_sp_xm_a_151	marine_surface	Aliiroseovarius sp. xm-a-151	xm-a-151	coastal seawater	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA575125" target="_blank">PRJNA575125</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN12878184" target="_blank">SAMN12878184</a>	GCA_013283585.1	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/2651824" target="_blank">2651824</a>	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/2651824" target="_blank">2651824</a>	no_pub	Contig	6/6/20	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/585/GCA_013283585.1_ASM1328358v1" target="_blank">FTP link</a>	The Chinese University of Hong Kong
Aliiroseovarius_sp_xm_d_517	marine_surface	Aliiroseovarius sp. xm-d-517	xm-d-517	coastal seawater	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA575125" target="_blank">PRJNA575125</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN12878185" target="_blank">SAMN12878185</a>	GCA_013283135.1	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/2651825" target="_blank">2651825</a>	<a href="https://www.ncbi.nlm.nih.gov/taxonomy/2651825" target="_blank">2651825</a>	no_pub	Contig	6/6/20	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/135/GCA_013283135.1_ASM1328313v1" target="_blank">FTP link</a>	The Chinese University of Hong Kong
