item_name	data_key	data_value	data_type	data_group
WAM_ALR	total_reads_kept	10634356	int	default
WAM_ALR	total_num_reads	14899360	int	default
WAM_ALR	num_INDELs_reported	4203	int	default
WAM_ALR	num_SNVs_reported	783132	int	default
WAM_ALR	num_SCVs_reported	591099	int	default
WAM_ALR	total_reads_mapped	10634356	int	default
WAM_ALR	percent_mapped	71.3745825324041	float	default
WAM_CCR	total_reads_kept	8698428	int	default
WAM_CCR	total_num_reads	13780976	int	default
WAM_CCR	num_INDELs_reported	2641	int	default
WAM_CCR	num_SNVs_reported	661359	int	default
WAM_CCR	num_SCVs_reported	507242	int	default
WAM_CCR	total_reads_mapped	8698428	int	default
WAM_CCR	percent_mapped	63.119099837341	float	default
WAM_IPI	total_reads_kept	11525222	int	default
WAM_IPI	total_num_reads	18455808	int	default
WAM_IPI	num_INDELs_reported	6348	int	default
WAM_IPI	num_SNVs_reported	928393	int	default
WAM_IPI	num_SCVs_reported	678730	int	default
WAM_IPI	total_reads_mapped	11525222	int	default
WAM_IPI	percent_mapped	62.4476695899741	float	default
WAM_MAR	total_reads_kept	13571038	int	default
WAM_MAR	total_num_reads	21177886	int	default
WAM_MAR	num_INDELs_reported	6117	int	default
WAM_MAR	num_SNVs_reported	1418095	int	default
WAM_MAR	num_SCVs_reported	1075478	int	default
WAM_MAR	total_reads_mapped	13571038	int	default
WAM_MAR	percent_mapped	64.0811741077462	float	default
WAM_MYS	total_reads_kept	8315454	int	default
WAM_MYS	total_num_reads	13487108	int	default
WAM_MYS	num_INDELs_reported	3338	int	default
WAM_MYS	num_SNVs_reported	953725	int	default
WAM_MYS	num_SCVs_reported	720460	int	default
WAM_MYS	total_reads_mapped	8315454	int	default
WAM_MYS	percent_mapped	61.6548336381677	float	default
WAM_PBL	total_reads_kept	8862106	int	default
WAM_PBL	total_num_reads	13247928	int	default
WAM_PBL	num_INDELs_reported	3387	int	default
WAM_PBL	num_SNVs_reported	1001130	int	default
WAM_PBL	num_SCVs_reported	773234	int	default
WAM_PBL	total_reads_mapped	8862106	int	default
WAM_PBL	percent_mapped	66.8942796186694	float	default
WAM_PJN	total_reads_kept	14184892	int	default
WAM_PJN	total_num_reads	27017664	int	default
WAM_PJN	num_INDELs_reported	5894	int	default
WAM_PJN	num_SNVs_reported	1309411	int	default
WAM_PJN	num_SCVs_reported	999809	int	default
WAM_PJN	total_reads_mapped	14184892	int	default
WAM_PJN	percent_mapped	52.5022888729388	float	default
WAM_PPR	total_reads_kept	10309366	int	default
WAM_PPR	total_num_reads	16697802	int	default
WAM_PPR	num_INDELs_reported	4004	int	default
WAM_PPR	num_SNVs_reported	1123971	int	default
WAM_PPR	num_SCVs_reported	861321	int	default
WAM_PPR	total_reads_mapped	10309366	int	default
WAM_PPR	percent_mapped	61.7408566708361	float	default
WAM_PST	total_reads_kept	10298887	int	default
WAM_PST	total_num_reads	15635402	int	default
WAM_PST	num_INDELs_reported	3680	int	default
WAM_PST	num_SNVs_reported	747726	int	default
WAM_PST	num_SCVs_reported	570169	int	default
WAM_PST	total_reads_mapped	10298887	int	default
WAM_PST	percent_mapped	65.8690259450956	float	default
WAM_ROL	total_reads_kept	10449786	int	default
WAM_ROL	total_num_reads	16118010	int	default
WAM_ROL	num_INDELs_reported	4732	int	default
WAM_ROL	num_SNVs_reported	973350	int	default
WAM_ROL	num_SCVs_reported	740703	int	default
WAM_ROL	total_reads_mapped	10449786	int	default
WAM_ROL	percent_mapped	64.8329787610257	float	default
WAM_SCR	total_reads_kept	12970048	int	default
WAM_SCR	total_num_reads	19125000	int	default
WAM_SCR	num_INDELs_reported	5243	int	default
WAM_SCR	num_SNVs_reported	1188315	int	default
WAM_SCR	num_SCVs_reported	931570	int	default
WAM_SCR	total_reads_mapped	12970048	int	default
WAM_SCR	percent_mapped	67.8172444444444	float	default
WAM_SGN	total_reads_kept	11277532	int	default
WAM_SGN	total_num_reads	17889322	int	default
WAM_SGN	num_INDELs_reported	4261	int	default
WAM_SGN	num_SNVs_reported	908295	int	default
WAM_SGN	num_SCVs_reported	690879	int	default
WAM_SGN	total_reads_mapped	11277532	int	default
WAM_SGN	percent_mapped	63.0405780610355	float	default
WAM_SIS	total_reads_kept	13748633	int	default
WAM_SIS	total_num_reads	19016824	int	default
WAM_SIS	num_INDELs_reported	7811	int	default
WAM_SIS	num_SNVs_reported	1475671	int	default
WAM_SIS	num_SCVs_reported	1123959	int	default
WAM_SIS	total_reads_mapped	13748633	int	default
WAM_SIS	percent_mapped	72.2972090397429	float	default
WAM_TWN	total_reads_kept	6867407	int	default
WAM_TWN	total_num_reads	16166502	int	default
WAM_TWN	num_INDELs_reported	11197	int	default
WAM_TWN	num_SNVs_reported	748531	int	default
WAM_TWN	num_SCVs_reported	516119	int	default
WAM_TWN	total_reads_mapped	6867407	int	default
WAM_TWN	percent_mapped	42.479238860701	float	default
WAR_ALR	total_reads_kept	10505217	int	default
WAR_ALR	total_num_reads	15739730	int	default
WAR_ALR	num_INDELs_reported	4667	int	default
WAR_ALR	num_SNVs_reported	789747	int	default
WAR_ALR	num_SCVs_reported	592210	int	default
WAR_ALR	total_reads_mapped	10505217	int	default
WAR_ALR	percent_mapped	66.7433113528631	float	default
WAR_CCR	total_reads_kept	11784152	int	default
WAR_CCR	total_num_reads	19386284	int	default
WAR_CCR	num_INDELs_reported	4895	int	default
WAR_CCR	num_SNVs_reported	851732	int	default
WAR_CCR	num_SCVs_reported	647901	int	default
WAR_CCR	total_reads_mapped	11784152	int	default
WAR_CCR	percent_mapped	60.7860278947734	float	default
WAR_IPI	total_reads_kept	9862174	int	default
WAR_IPI	total_num_reads	15946956	int	default
WAR_IPI	num_INDELs_reported	6455	int	default
WAR_IPI	num_SNVs_reported	729712	int	default
WAR_IPI	num_SCVs_reported	528067	int	default
WAR_IPI	total_reads_mapped	9862174	int	default
WAR_IPI	percent_mapped	61.8436145431141	float	default
WAR_MAR	total_reads_kept	11977557	int	default
WAR_MAR	total_num_reads	16524510	int	default
WAR_MAR	num_INDELs_reported	4879	int	default
WAR_MAR	num_SNVs_reported	830727	int	default
WAR_MAR	num_SCVs_reported	627983	int	default
WAR_MAR	total_reads_mapped	11977557	int	default
WAR_MAR	percent_mapped	72.4835834769079	float	default
WAR_MYS	total_reads_kept	11834426	int	default
WAR_MYS	total_num_reads	18833420	int	default
WAR_MYS	num_INDELs_reported	6438	int	default
WAR_MYS	num_SNVs_reported	967280	int	default
WAR_MYS	num_SCVs_reported	708277	int	default
WAR_MYS	total_reads_mapped	11834426	int	default
WAR_MYS	percent_mapped	62.8373710138679	float	default
WAR_PBL	total_reads_kept	11633199	int	default
WAR_PBL	total_num_reads	17788128	int	default
WAR_PBL	num_INDELs_reported	5440	int	default
WAR_PBL	num_SNVs_reported	795923	int	default
WAR_PBL	num_SCVs_reported	590801	int	default
WAR_PBL	total_reads_mapped	11633199	int	default
WAR_PBL	percent_mapped	65.3986692697512	float	default
WAR_PJN	total_reads_kept	15559662	int	default
WAR_PJN	total_num_reads	23752290	int	default
WAR_PJN	num_INDELs_reported	7801	int	default
WAR_PJN	num_SNVs_reported	1256916	int	default
WAR_PJN	num_SCVs_reported	947003	int	default
WAR_PJN	total_reads_mapped	15559662	int	default
WAR_PJN	percent_mapped	65.5080499606564	float	default
WAR_PPR	total_reads_kept	11445783	int	default
WAR_PPR	total_num_reads	17001764	int	default
WAR_PPR	num_INDELs_reported	3855	int	default
WAR_PPR	num_SNVs_reported	868376	int	default
WAR_PPR	num_SCVs_reported	667932	int	default
WAR_PPR	total_reads_mapped	11445783	int	default
WAR_PPR	percent_mapped	67.3211497348157	float	default
WAR_PSK	total_reads_kept	10383425	int	default
WAR_PSK	total_num_reads	16596822	int	default
WAR_PSK	num_INDELs_reported	6070	int	default
WAR_PSK	num_SNVs_reported	799464	int	default
WAR_PSK	num_SCVs_reported	582081	int	default
WAR_PSK	total_reads_mapped	10383425	int	default
WAR_PSK	percent_mapped	62.5627303829613	float	default
WAR_PST	total_reads_kept	15641234	int	default
WAR_PST	total_num_reads	23242258	int	default
WAR_PST	num_INDELs_reported	7167	int	default
WAR_PST	num_SNVs_reported	1249039	int	default
WAR_PST	num_SCVs_reported	942314	int	default
WAR_PST	total_reads_mapped	15641234	int	default
WAR_PST	percent_mapped	67.296533753304	float	default
WAR_RNW	total_reads_kept	10219986	int	default
WAR_RNW	total_num_reads	15737756	int	default
WAR_RNW	num_INDELs_reported	3917	int	default
WAR_RNW	num_SNVs_reported	719152	int	default
WAR_RNW	num_SCVs_reported	540248	int	default
WAR_RNW	total_reads_mapped	10219986	int	default
WAR_RNW	percent_mapped	64.9392835929087	float	default
WAR_ROL	total_reads_kept	13529100	int	default
WAR_ROL	total_num_reads	19104590	int	default
WAR_ROL	num_INDELs_reported	6279	int	default
WAR_ROL	num_SNVs_reported	1042740	int	default
WAR_ROL	num_SCVs_reported	784136	int	default
WAR_ROL	total_reads_mapped	13529100	int	default
WAR_ROL	percent_mapped	70.8159662154488	float	default
WAR_SCR	total_reads_kept	13402234	int	default
WAR_SCR	total_num_reads	18081876	int	default
WAR_SCR	num_INDELs_reported	4335	int	default
WAR_SCR	num_SNVs_reported	1050811	int	default
WAR_SCR	num_SCVs_reported	814820	int	default
WAR_SCR	total_reads_mapped	13402234	int	default
WAR_SCR	percent_mapped	74.1197097026879	float	default
WAR_SGL	total_reads_kept	10314394	int	default
WAR_SGL	total_num_reads	15387256	int	default
WAR_SGL	num_INDELs_reported	3535	int	default
WAR_SGL	num_SNVs_reported	692404	int	default
WAR_SGL	num_SCVs_reported	522940	int	default
WAR_SGL	total_reads_mapped	10314394	int	default
WAR_SGL	percent_mapped	67.0320556179737	float	default
WAR_SIS	total_reads_kept	11588294	int	default
WAR_SIS	total_num_reads	15298232	int	default
WAR_SIS	num_INDELs_reported	4990	int	default
WAR_SIS	num_SNVs_reported	866159	int	default
WAR_SIS	num_SCVs_reported	654787	int	default
WAR_SIS	total_reads_mapped	11588294	int	default
WAR_SIS	percent_mapped	75.7492369052842	float	default
WAM_ALR	t_order!Cyanophage_P-TIM40	0	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Marine_virus_AFVG_25M65	0	stackedbar	t_order
WAM_ALR	t_order!Clostridiales	2922	stackedbar	t_order
WAM_ALR	t_order!Thiotrichales	0	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Marine_virus_AFVG_25M87	0	stackedbar	t_order
WAM_ALR	t_order!Synechococcus_phage_S-B05	0	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Marine_virus_AFVG_25M85	0	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Bacillariophyta	0	stackedbar	t_order
WAM_ALR	t_order!Sphingobacteriales	0	stackedbar	t_order
WAM_ALR	t_order!Eurotiales	0	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Marine_virus_AFVG_25M1	0	stackedbar	t_order
WAM_ALR	t_order!Nitrosopumilaceae	0	stackedbar	t_order
WAM_ALR	t_order!Desulfuromonadales	0	stackedbar	t_order
