sample	number_of_pairs_analyzed	total_pairs_passed	percent_total_pairs_passed	total_pair_1_trimmed	percent_total_pair_1_trimmed	total_pair_2_trimmed	percent_total_pair_2_trimmed	total_pairs_failed	percent_total_pairs_failed	pairs_failed_due_to_pair_1	percent_pairs_failed_due_to_pair_1	pairs_failed_due_to_pair_2	percent_pairs_failed_due_to_pair_2	pairs_failed_due_to_both	percent_pairs_failed_due_to_both	FAILED_REASON_P	percent_FAILED_REASON_P	FAILED_REASON_N	percent_FAILED_REASON_N	FAILED_REASON_C33	percent_FAILED_REASON_C33
EPM_12A1	8210856	7491227	91.24	0	0.00	1	0.00	719629	8.76	93517	13.00	441502	61.35	184610	25.65	0	0	0	0	0	0
EPM_12A2	7220191	6677277	92.48	0	0.00	2	0.00	542914	7.52	65924	12.14	326781	60.19	150209	27.67	0	0	0	0	0	0
EPM_12A3	10688137	9894408	92.57	0	0.00	3	0.00	793729	7.43	100374	12.65	465378	58.63	227977	28.72	0	0	0	0	0	0
EPM_12A4	3230760	2992107	92.61	0	0.00	1	0.00	238653	7.39	29319	12.29	142866	59.86	66468	27.85	0	0	0	0	0	0
EPM_13A1	9976420	9075673	90.97	0	0.00	1	0.00	900747	9.03	110098	12.22	550389	61.10	240260	26.67	0	0	0	0	0	0
EPM_13A2	7589249	6925372	91.25	0	0.00	1	0.00	663877	8.75	81054	12.21	398167	59.98	184656	27.81	0	0	0	0	0	0
EPM_13A3	6412255	5864709	91.46	0	0.00	1	0.00	547546	8.54	58698	10.72	344316	62.88	144532	26.40	0	0	0	0	0	0
EPM_13A4	6982450	6409855	91.80	0	0.00	0	0.00	572595	8.20	63804	11.14	350033	61.13	158758	27.73	0	0	0	0	0	0
EPM_14A1	7719281	7076078	91.67	0	0.00	1	0.00	643203	8.33	71414	11.10	393826	61.23	177963	27.67	0	0	0	0	0	0
EPM_14A2	9459922	8792161	92.94	0	0.00	0	0.00	667761	7.06	86844	13.01	388616	58.20	192301	28.80	0	0	0	0	0	0
EPM_14A3	11652823	10852916	93.14	0	0.00	3	0.00	799907	6.86	113492	14.19	465772	58.23	220643	27.58	0	0	0	0	0	0
EPM_14A4	9170346	8416367	91.78	0	0.00	1	0.00	753979	8.22	92656	12.29	436484	57.89	224839	29.82	0	0	0	0	0	0
EPR_10A	9988017	9217424	92.28	0	0.00	3	0.00	770593	7.72	98097	12.73	431062	55.94	241434	31.33	0	0	0	0	0	0
EPR_10B	10585894	9744978	92.06	0	0.00	0	0.00	840916	7.94	108769	12.93	455954	54.22	276193	32.84	0	0	0	0	0	0
EPR_11A	11338283	10487586	92.50	0	0.00	2	0.00	850697	7.50	97041	11.41	502223	59.04	251433	29.56	0	0	0	0	0	0
EPR_11B	9790489	8986966	91.79	0	0.00	1	0.00	803523	8.21	100819	12.55	461054	57.38	241650	30.07	0	0	0	0	0	0
EPR_11C	8849591	8072218	91.22	0	0.00	0	0.00	777373	8.78	91888	11.82	444816	57.22	240669	30.96	0	0	0	0	0	0
EPR_13B	7633503	6995523	91.64	0	0.00	1	0.00	637980	8.36	73999	11.60	363264	56.94	200717	31.46	0	0	0	0	0	0
EPR_13C	8397112	7770076	92.53	0	0.00	4	0.00	627036	7.47	68992	11.00	383233	61.12	174811	27.88	0	0	0	0	0	0
EPR_14B	10834134	10123978	93.45	0	0.00	1	0.00	710156	6.55	87377	12.30	418289	58.90	204490	28.80	0	0	0	0	0	0
EPR_14C	9314096	8653771	92.91	0	0.00	0	0.00	660325	7.09	84888	12.86	382776	57.97	192661	29.18	0	0	0	0	0	0
EPR_14E	10665754	9992544	93.69	0	0.00	1	0.00	673210	6.31	95096	14.13	385464	57.26	192650	28.62	0	0	0	0	0	0
EPR_15A	10995213	10205814	92.82	0	0.00	1	0.00	789399	7.18	92399	11.70	466270	59.07	230730	29.23	0	0	0	0	0	0
EPR_15B	8857832	8217342	92.77	0	0.00	1	0.00	640490	7.23	91814	14.33	349727	54.60	198949	31.06	0	0	0	0	0	0
EPR_8A	9051847	8327850	92.00	0	0.00	2	0.00	723997	8.00	90515	12.50	416472	57.52	217010	29.97	0	0	0	0	0	0
EPR_8B	9931996	9170961	92.34	0	0.00	1	0.00	761035	7.66	94876	12.47	441557	58.02	224602	29.51	0	0	0	0	0	0
EPR_9A	7954150	7405372	93.10	0	0.00	3	0.00	548778	6.90	87134	15.88	308961	56.30	152683	27.82	0	0	0	0	0	0
EPR_9B	9687443	8958737	92.48	0	0.00	3	0.00	728706	7.52	92976	12.76	416198	57.11	219532	30.13	0	0	0	0	0	0
WAM_ALR	8133401	7449680	91.59	0	0.00	0	0.00	683721	8.41	77770	11.37	406274	59.42	199677	29.20	0	0	0	0	0	0
WAM_CCR	7562878	6890488	91.11	0	0.00	1	0.00	672390	8.89	82047	12.20	382585	56.90	207758	30.90	0	0	0	0	0	0
WAM_IPI	10080145	9227904	91.55	0	0.00	2	0.00	852241	8.45	103390	12.13	492491	57.79	256360	30.08	0	0	0	0	0	0
WAM_MAR	11404457	10588943	92.85	0	0.00	4	0.00	815514	7.15	105433	12.93	471513	57.82	238568	29.25	0	0	0	0	0	0
WAM_MYS	7372567	6743554	91.47	0	0.00	4	0.00	629013	8.53	77630	12.34	358921	57.06	192462	30.60	0	0	0	0	0	0
WAM_PBL	7264004	6623964	91.19	0	0.00	1	0.00	640040	8.81	74894	11.70	369067	57.66	196079	30.64	0	0	0	0	0	0
WAM_PJN	14831093	13508832	91.08	0	0.00	2	0.00	1322261	8.92	172119	13.02	742889	56.18	407253	30.80	0	0	0	0	0	0
WAM_PPR	9149108	8348901	91.25	0	0.00	1	0.00	800207	8.75	100683	12.58	452250	56.52	247274	30.90	0	0	0	0	0	0
WAM_PST	8438724	7817701	92.64	0	0.00	1	0.00	621023	7.36	86858	13.99	349382	56.26	184783	29.75	0	0	0	0	0	0
WAM_ROL	8698559	8059005	92.65	0	0.00	0	0.00	639554	7.35	88536	13.84	361888	56.58	189130	29.57	0	0	0	0	0	0
WAM_SCR	10364140	9562500	92.27	0	0.00	1	0.00	801640	7.73	99134	12.37	469746	58.60	232760	29.04	0	0	0	0	0	0
WAM_SGN	9850390	8944661	90.81	0	0.00	1	0.00	905729	9.19	104677	11.56	510873	56.40	290179	32.04	0	0	0	0	0	0
WAM_SIS	10198415	9508412	93.23	0	0.00	2	0.00	690003	6.77	93321	13.52	387493	56.16	209189	30.32	0	0	0	0	0	0
WAM_TWN	8906584	8083251	90.76	0	0.00	1	0.00	823333	9.24	100951	12.26	479017	58.18	243365	29.56	0	0	0	0	0	0
WAR_ALR	8621609	7869865	91.28	0	0.00	2	0.00	751744	8.72	92806	12.35	420114	55.89	238824	31.77	0	0	0	0	0	0
WAR_CCR	10530185	9693142	92.05	0	0.00	3	0.00	837043	7.95	122464	14.63	449286	53.68	265293	31.69	0	0	0	0	0	0
WAR_IPI	8840296	7973478	90.19	0	0.00	2	0.00	866818	9.81	115202	13.29	450019	51.92	301597	34.79	0	0	0	0	0	0
WAR_MAR	8912082	8262255	92.71	0	0.00	2	0.00	649827	7.29	90235	13.89	362327	55.76	197265	30.36	0	0	0	0	0	0
WAR_MYS	10286297	9416710	91.55	0	0.00	0	0.00	869587	8.45	120170	13.82	480502	55.26	268915	30.92	0	0	0	0	0	0
WAR_PBL	9727158	8894064	91.44	0	0.00	2	0.00	833094	8.56	107941	12.96	460820	55.31	264333	31.73	0	0	0	0	0	0
WAR_PJN	12808838	11876145	92.72	0	0.00	1	0.00	932693	7.28	140421	15.06	503266	53.96	289006	30.99	0	0	0	0	0	0
WAR_PPR	9271835	8500882	91.69	0	0.00	0	0.00	770953	8.31	102214	13.26	433767	56.26	234972	30.48	0	0	0	0	0	0
WAR_PSK	9217932	8298411	90.02	0	0.00	2	0.00	919521	9.98	118348	12.87	483303	52.56	317870	34.57	0	0	0	0	0	0
WAR_PST	12591172	11621129	92.30	0	0.00	4	0.00	970043	7.70	128698	13.27	545796	56.27	295549	30.47	0	0	0	0	0	0
WAR_RNW	8666675	7868878	90.79	0	0.00	3	0.00	797797	9.21	94515	11.85	449027	56.28	254255	31.87	0	0	0	0	0	0
WAR_ROL	10415898	9552295	91.71	0	0.00	2	0.00	863603	8.29	138350	16.02	453057	52.46	272196	31.52	0	0	0	0	0	0
WAR_SCR	9766096	9040938	92.57	0	0.00	3	0.00	725158	7.43	99319	13.70	403291	55.61	222548	30.69	0	0	0	0	0	0
WAR_SGL	8425707	7693628	91.31	0	0.00	0	0.00	732079	8.69	89629	12.24	391125	53.43	251325	34.33	0	0	0	0	0	0
WAR_SIS	8245755	7649116	92.76	0	0.00	2	0.00	596639	7.24	75952	12.73	346660	58.10	174027	29.17	0	0	0	0	0	0
