genome	total_scgs	support_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Aliiarcobacter_faecis_AF1078	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_faecis
Aliiarcobacter_faecis_CCUG_66484	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_faecis
Arcobacter_anaerophilus_DSM_24636_A	21	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_anaerophilus
Arcobacter_anaerophilus_DSM_24636_B	21	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_anaerophilus
Arcobacter_anaerophilus_IR_1	21	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_anaerophilus
Arcobacter_aquimarinus_CECT_8442	19	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_aquimarinus_W63	19	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_7h1h	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_ED_1	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_JV22_A	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_JV22_B	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L348	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L349	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L350	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L351	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L352	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L353	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
