assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_001307765.1	PRJNA291771	SAMN03952659	LKBA00000000.1		representative genome	assembly from type material	154981	154981	Aliiroseovarius crassostreae	strain=CV919-312		latest	Contig	Major	Full	2015/10/07	ASM130776v1	University of Rhode Island	GCF_001307765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/765/GCA_001307765.1_ASM130776v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_001307765.1/GCA_001307765.1_ASM130776v1_genomic.gbff.gz
GCA_900116725.1	PRJEB17594	SAMN04488527	FPBS00000000.1		na	assembly from type material	154981	154981	Aliiroseovarius crassostreae	strain=DSM 16950		latest	Scaffold	Major	Full	2016/11/02	IMG-taxon 2619619030 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900116725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/116/725/GCA_900116725.1_IMG-taxon_2619619030_annotated_assembly	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_900116725.1/GCA_900116725.1_IMG-taxon_2619619030_annotated_assembly_genomic.gbff.gz
GCA_007004645.1	PRJNA548260	SAMN12012166	VICH00000000.1		representative genome	assembly from type material	985055	985055	Aliiroseovarius halocynthiae	strain=MA1-10		latest	Scaffold	Major	Full	2019/07/15	ASM700464v1	Xinxiang Medical University	GCF_007004645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/004/645/GCA_007004645.1_ASM700464v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_007004645.1/GCA_007004645.1_ASM700464v1_genomic.gbff.gz
GCA_900109955.1	PRJEB16889	SAMN05444851	FOJB00000000.1		representative genome	assembly from type material	1173584	1173584	Aliiroseovarius sediminilitoris	strain=DSM 29439		latest	Contig	Major	Full	2016/10/31	IMG-taxon 2687453744 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900109955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/955/GCA_900109955.1_IMG-taxon_2687453744_annotated_assembly	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_900109955.1/GCA_900109955.1_IMG-taxon_2687453744_annotated_assembly_genomic.gbff.gz
GCA_014656375.1	PRJDB10508	SAMD00245648	BNCH00000000.1		representative genome	assembly from type material	1632025	1632025	Aliiroseovarius zhejiangensis	strain=KCTC 42443		latest	Contig	Major	Full	2020/09/12	ASM1465637v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCF_014656375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/656/375/GCA_014656375.1_ASM1465637v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_014656375.1/GCA_014656375.1_ASM1465637v1_genomic.gbff.gz
GCA_900302485.1	PRJEB25094	SAMEA104628693	OMOI00000000.1		representative genome	assembly from type material	1639690	1639690	Aliiroseovarius pelagivivens	strain=CECT 8811		latest	Contig	Major	Full	2018/04/24	A.pelagivivensCECT8811_Spades_Prokka	UVEG	GCF_900302485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/302/485/GCA_900302485.1_A.pelagivivensCECT8811_Spades_Prokka	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_900302485.1/GCA_900302485.1_A.pelagivivensCECT8811_Spades_Prokka_genomic.gbff.gz
GCA_011322495.1	PRJNA480137	SAMN09638699	DRMT00000000.1	derived from metagenome	na		1872442	1872442	Aliiroseovarius sp.		HyVt-494	latest	Contig	Major	Full	2020/03/16	ASM1132249v1	The University of Hong Kong	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/322/495/GCA_011322495.1_ASM1132249v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_011322495.1/GCA_011322495.1_ASM1132249v1_genomic.gbff.gz
GCA_011330785.1	PRJNA480137	SAMN09638775	DRPQ00000000.1	derived from metagenome	na		1872442	1872442	Aliiroseovarius sp.		HyVt-562	latest	Contig	Major	Full	2020/03/16	ASM1133078v1	The University of Hong Kong	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/330/785/GCA_011330785.1_ASM1133078v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_011330785.1/GCA_011330785.1_ASM1133078v1_genomic.gbff.gz
GCA_011371165.1	PRJNA480137	SAMN09638830	DRRS00000000.1	derived from metagenome; fragmented assembly	na		1872442	1872442	Aliiroseovarius sp.		HyVt-611	latest	Contig	Major	Full	2020/03/16	ASM1137116v1	The University of Hong Kong	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/371/165/GCA_011371165.1_ASM1137116v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_011371165.1/GCA_011371165.1_ASM1137116v1_genomic.gbff.gz
GCA_011374635.1	PRJNA480137	SAMN09638792	DRQH00000000.1	derived from metagenome	na		1872442	1872442	Aliiroseovarius sp.		HyVt-578	latest	Contig	Major	Full	2020/03/16	ASM1137463v1	The University of Hong Kong	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/374/635/GCA_011374635.1_ASM1137463v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_011374635.1/GCA_011374635.1_ASM1137463v1_genomic.gbff.gz
GCA_004360145.1	PRJNA512599	SAMN10688474	SAIT00000000.1		representative genome	assembly from type material	2500159	2500159	Aliiroseovarius marinus	strain=A6024		latest	Scaffold	Major	Full	2019/03/22	ASM436014v1	Xinxiang Medical University	GCF_004360145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/360/145/GCA_004360145.1_ASM436014v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_004360145.1/GCA_004360145.1_ASM436014v1_genomic.gbff.gz
