genome_name	Archaeal_16S_rRNA	Bacterial_16S_rRNA	Mitochondrial_16S_rRNA
Aliiroseovarius_crassostreae_CV919_312	0	3	0
Aliiroseovarius_crassostreae_DSM_16950	0	1	0
Aliiroseovarius_halocynthiae_MA1_10	0	1	0
Aliiroseovarius_marinus_A6024	0	1	0
Aliiroseovarius_pelagivivens_CECT_8811	0	1	0
Aliiroseovarius_sediminilitoris_DSM_29439	1	0	0
Aliiroseovarius_sp_HyVt_562	0	0	0
Aliiroseovarius_sp_PrR006	0	1	0
Aliiroseovarius_sp_xm_a_104	0	1	0
Aliiroseovarius_sp_xm_a_134	0	1	0
Aliiroseovarius_sp_xm_a_151	0	1	0
Aliiroseovarius_sp_xm_d_517	0	3	0
Aliiroseovarius_sp_xm_g_7	0	1	0
Aliiroseovarius_sp_xm_m_309	0	1	0
Aliiroseovarius_sp_xm_m_314	0	1	0
Aliiroseovarius_sp_xm_m_339_2	0	1	0
Aliiroseovarius_sp_xm_m_354	0	1	0
Aliiroseovarius_sp_xm_m_378	0	1	0
Aliiroseovarius_sp_xm_m_379	0	1	0
Aliiroseovarius_sp_xm_v_201	0	1	0
Aliiroseovarius_sp_xm_v_204	0	1	0
Aliiroseovarius_sp_xm_v_208	0	1	0
Aliiroseovarius_sp_xm_v_209	0	1	0
Aliiroseovarius_sp_xm_v_225	0	1	0
Aliiroseovarius_zhejiangensis_KCTC_42443	1	0	0
MAG04	0	0	0
