bin name	domain	confidence	% completion	% redundancy	num_splits	total length
MAXBIN__004	BACTERIA	0.6	56.34	46.48	614	951606
MAXBIN__001	BLANK	1.0	0.00	0.00	496	2522035
MAXBIN__002	BACTERIA	1.0	95.77	29.58	721	2200677
MAXBIN__013	BACTERIA	0.7	97.18	66.20	2258	3407557
MAXBIN__009	BACTERIA	0.9	87.32	71.83	955	1537630
MAXBIN__011	BACTERIA	0.5	53.52	9.86	921	1691060
MAXBIN__014	BACTERIA	0.5	52.11	5.63	1059	1620255
MAXBIN__007	BACTERIA	0.6	71.83	32.39	734	1089442
MAXBIN__003	BLANK	0.6	0.00	0.00	3033	5865919
MAXBIN__006	BLANK	0.6	0.00	0.00	1308	2231954
MAXBIN__010	BACTERIA	0.7	73.24	98.59	4056	6904709
MAXBIN__005	BACTERIA	0.7	71.83	11.27	854	1640820
MAXBIN__012	EUKARYA	0.3	10.84	2.41	1885	2815608
MAXBIN__008	BLANK	1.0	0.00	0.00	2504	4780066
MAXBIN__015	BACTERIA	0.6	67.61	36.62	430	593428
MAXBIN__016	BACTERIA	0.8	83.10	21.13	661	1154935
