genome	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Aliiroseovarius_crassostreae_CV919_312	22	20	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_crassostreae_DSM_16950	22	20	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_halocynthiae_MA1_10	23	18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_halocynthiae
Aliiroseovarius_marinus_A6024	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_sp004360145
Aliiroseovarius_pelagivivens_CECT_8811	22	18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_pelagivivens
Aliiroseovarius_sediminilitoris_DSM_29439	22	21	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_sediminilitoris
Aliiroseovarius_sp_HyVt_494	10	9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	None	None
Aliiroseovarius_sp_HyVt_562	13	13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	None	None
Aliiroseovarius_sp_HyVt_578	0	0	None	None	None	None	None	None	None
Aliiroseovarius_sp_HyVt_611	1	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	None	None
Aliiroseovarius_sp_PrR006	22	7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_sp004360145
Aliiroseovarius_sp_xm_a_104	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_a_134	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_a_151	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_d_517	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_g_7	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_m_309	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_m_314	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_m_339_2	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_m_354	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_m_378	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_m_379	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_v_201	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_v_204	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_v_208	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_v_209	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_sp_xm_v_225	22	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_crassostreae
Aliiroseovarius_zhejiangensis_KCTC_42443	21	10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_sediminilitoris
MAG04	18	13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius_sp004360145
