genome_name	Archaeal_16S_rRNA	Archaeal_23S_rRNA	Archaeal_5S_rRNA	Archaeal_5_8S_rRNA	Bacterial_16S_rRNA	Bacterial_23S_rRNA	Bacterial_5S_rRNA	Eukaryotic_28S_rRNA	Eukaryotic_5S_rRNA	Eukaryotic_5_8S_rRNA	Mitochondrial_12S_rRNA	Mitochondrial_16S_rRNA
Aliiarcobacter_faecis_AF1078	0	7	0	0	7	0	0	0	0	0	0	0
Aliiarcobacter_faecis_CCUG_66484	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_anaerophilus_DSM_24636_A	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_anaerophilus_DSM_24636_B	0	4	0	0	4	0	0	0	0	0	0	0
Arcobacter_anaerophilus_IR_1	0	4	0	0	4	0	0	0	0	0	0	0
Arcobacter_aquimarinus_CECT_8442	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_aquimarinus_W63	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_butzleri_7h1h	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_butzleri_ED_1	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_butzleri_JV22_A	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_butzleri_JV22_B	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_butzleri_L348	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_butzleri_L349	0	3	0	0	3	0	0	0	0	0	0	0
Arcobacter_butzleri_L350	0	2	0	0	2	0	0	0	0	0	0	0
Arcobacter_butzleri_L351	0	3	0	0	3	0	0	0	0	0	0	0
Arcobacter_butzleri_L352	0	6	0	0	1	0	0	0	0	0	0	0
Arcobacter_butzleri_L353	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_butzleri_L354	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_butzleri_L355	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_butzleri_RM4018	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_canalis_F138_33	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_canalis_LMG_29148	0	6	0	0	6	0	0	0	0	0	0	0
Arcobacter_cibarius_LMG_21996	0	6	0	0	3	0	0	0	0	0	0	0
Arcobacter_cloacae_CECT_7834	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_cloacae_F26	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_cloacae_LMG_26153	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_cryaerophilus_ATCC_43158_ATCC_43158	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_cryaerophilus_ATCC_43158_LMG_9904	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_cryaerophilus_D2610	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_defluvii_CECT_7697	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_defluvii_LMG_25694	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_ellisii_CECT_7837	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_ellisii_LMG_26155	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_halophilus_CCUG_53805	0	6	0	0	6	0	0	0	0	0	0	0
Arcobacter_halophilus_DSM_18005	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_halophilus_F166_45	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_lanthieri_AF1430	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_lanthieri_AF1440	0	6	0	0	6	0	0	0	0	0	0	0
Arcobacter_lanthieri_AF1581	0	9	0	0	10	0	0	0	0	0	0	0
Arcobacter_lanthieri_LMG_28516	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_lekithochrous_DSM_100870	0	8	0	0	8	0	0	0	0	0	0	0
Arcobacter_lekithochrous_LFT_1_7	0	1	0	0	1	1	0	0	0	0	0	0
Arcobacter_lekithochrous_LMG_28652	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_marinus_CECT_7727	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_marinus_F140_37	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_marinus_JCM_15502	0	6	0	0	6	0	0	0	0	0	0	0
Arcobacter_marinus_MARC_MIP3H16	0	0	0	0	1	1	0	0	0	0	0	0
Arcobacter_marinus_SH_4D_Col1	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_molluscorum_LMG_25693_CECT_7696	0	6	0	0	6	0	0	0	0	0	0	0
Arcobacter_molluscorum_LMG_25693_F98_3	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_mytili_LMG_24559_CECT_7386	0	0	0	0	0	1	0	0	0	0	0	0
Arcobacter_mytili_LMG_24559_LMG_24559	0	6	0	0	6	0	0	0	0	0	0	0
Arcobacter_nitrofigilis_DSM_7299_DSM_7299	0	4	0	0	4	0	0	0	0	0	0	0
Arcobacter_pacificus_LMG_26638	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_peruensis_PSE_93	0	6	0	0	6	0	0	0	0	0	0	0
Arcobacter_skirrowii_CCUG_10374_CCUG_10374_A	0	4	0	0	4	0	0	0	0	0	0	0
Arcobacter_skirrowii_CCUG_10374_CCUG_10374_B	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_skirrowii_CCUG_10374_LMG_6621	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_31_11_sub10_T18	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter_sp_AF1028	0	6	0	0	6	0	0	0	0	0	0	0
Arcobacter_sp_BM102	0	0	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_BM504	0	0	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_CECT_8983	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_CECT_8985	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_CECT_8986	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_CECT_8987	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_CECT_8989	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_CECT_9188	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_CECT_9230	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_CECT_9299	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_EP1	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter_sp_F155	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_F2176	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_FW59	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_L	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_sp_LA11	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_LMG_29976	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_LPB0137	0	6	0	0	6	0	0	0	0	0	0	0
Arcobacter_sp_NORP14	0	0	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_NORP36	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter_sp_RW43_9	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_sp_SM1702	0	1	0	0	1	0	0	1	0	0	0	0
Arcobacter_sp_SZUA_449	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter_sp_UBA1348	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter_sp_UBA2431	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter_sp_UBA2434	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter_sp_UBA2438	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter_sp_UBA2443	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter_sp_UBA7394	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter_suis_CECT_7833	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_thereius_LMG_24486_A	0	3	0	0	3	0	0	0	0	0	0	0
Arcobacter_thereius_LMG_24486_B	0	4	0	0	4	0	0	0	0	0	0	0
Arcobacter_trophiarum_LMG_25534_A	0	5	0	0	5	0	0	0	0	0	0	0
Arcobacter_trophiarum_LMG_25534_B	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_venerupis_CECT7836	0	1	0	0	1	0	0	0	0	0	0	0
Arcobacter_venerupis_LMG_26156	0	6	0	0	6	0	0	0	0	0	0	0
Halarcobacter_bivalviorum_CECT_7835	0	1	0	0	1	0	0	0	0	0	0	0
Halarcobacter_bivalviorum_F118_4	0	1	0	0	1	0	0	0	0	0	0	0
Halarcobacter_bivalviorum_LMG_26154	0	4	0	0	4	0	0	0	0	0	0	0
Halarcobacter_ebronensis_CECT_8441	0	1	0	0	1	0	0	0	0	0	0	0
Halarcobacter_ebronensis_CECT_8993	0	1	0	0	1	0	0	0	0	0	0	0
Halarcobacter_ebronensis_LMG_27922	0	3	0	0	3	0	0	0	0	0	0	0
Halarcobacter_mediterraneus_F156_34	0	1	0	0	1	0	0	0	0	0	0	0
MAG02	0	1	0	0	1	0	0	0	0	0	0	0
Poseidonibacter_sp_JOD_M_6	0	1	0	0	1	0	0	0	0	0	0	0
Poseidonibacter_sp_SJOD_M_33	0	1	0	0	1	0	0	0	0	0	0	0
Poseidonibacter_sp_SJOD_M_5	0	1	0	0	1	0	0	0	0	0	0	0
Pseudoarcobacter_acticola_KCTC_52212	0	6	0	0	6	0	0	0	0	0	0	0
Pseudoarcobacter_caeni_RW17_10	0	1	0	0	1	0	0	0	0	0	0	0
_Arcobacter_porcinus_117434	0	1	0	0	1	0	0	0	0	0	0	0
_Arcobacter_porcinus_213	0	1	0	0	1	0	0	0	0	0	0	0
_Arcobacter_porcinus_216	0	1	0	0	1	0	0	0	0	0	0	0
_Arcobacter_porcinus_CCUG_56899	0	4	0	0	4	0	0	0	0	0	0	0
_Arcobacter_porcinus_DU19	0	1	0	0	1	0	0	0	0	0	0	0
