bin name	domain	confidence	% completion	% redundancy	num_splits	total length
Bin_18	BLANK	1.0	0.00	0.00	1909	2878395
Bin_39	BACTERIA	0.9	98.59	363.38	2873	4230640
Bin_23	BLANK	1.0	0.00	0.00	1020	1641401
Bin_66	BACTERIA	0.4	42.25	0.00	428	593993
Bin_65	BLANK	0.8	0.00	0.00	161	195308
Bin_7	BLANK	1.0	0.00	0.00	286	647813
Bin_31	BLANK	1.0	0.00	0.00	347	567474
Bin_8	BLANK	1.0	0.00	0.00	3130	4784769
Bin_5	BLANK	1.0	0.00	0.00	44	88132
Bin_55	BLANK	1.0	0.00	0.00	84	145516
Bin_68	BLANK	1.0	0.00	0.00	234	540286
Bin_52	BLANK	0.7	0.00	0.00	1072	1403974
Bin_63	BACTERIA	1.0	97.18	105.63	1357	2085721
Bin_14	BLANK	1.0	0.00	0.00	458	963542
Bin_17	BLANK	1.0	0.00	0.00	97	581617
Bin_32	BACTERIA	1.0	91.55	12.68	875	1683488
Bin_15	BLANK	0.6	0.00	0.00	319	418832
Bin_22	BLANK	1.0	0.00	0.00	320	646136
Bin_4	BLANK	1.0	0.00	0.00	794	4422671
Bin_28	BACTERIA	0.3	15.49	2.82	943	1523468
Bin_69	ARCHAEA	0.2	42.11	22.37	1064	1418866
Bin_41	BLANK	1.0	0.00	0.00	919	1787227
Bin_19	BLANK	1.0	0.00	0.00	388	566964
Bin_60	BACTERIA	0.4	42.25	1.41	745	1021857
Bin_47	BLANK	1.0	0.00	0.00	139	219759
Bin_42	ARCHAEA	0.4	51.32	6.58	508	809567
Bin_11	BACTERIA	0.7	83.10	9.86	1144	1876732
Bin_33	BACTERIA	0.9	94.37	9.86	673	2091590
Bin_58	BLANK	1.0	0.00	0.00	92	249714
Bin_35	BACTERIA	0.9	90.14	8.45	495	1077361
Bin_20	BLANK	1.0	0.00	0.00	61	101352
Bin_0	BLANK	0.7	0.00	0.00	196	363481
Bin_43	BLANK	1.0	0.00	0.00	108	354152
Bin_67	BLANK	1.0	0.00	0.00	123	152664
Bin_53	BACTERIA	0.5	49.30	1.41	183	263671
Bin_13	BLANK	1.0	0.00	0.00	17	27463
Bin_9	BLANK	1.0	0.00	0.00	1	1100
Bin_54	BLANK	1.0	0.00	0.00	9	20178
Bin_1	BLANK	1.0	0.00	0.00	10	13209
Bin_64	BLANK	1.0	0.00	0.00	2	2172
Bin_59	BLANK	1.0	0.00	0.00	13	40513
Bin_30	BLANK	1.0	0.00	0.00	7	8773
Bin_51	BLANK	1.0	0.00	0.00	2	5618
Bin_38	BLANK	1.0	0.00	0.00	2	2865
Bin_56	BLANK	1.0	0.00	0.00	1	1203
Bin_25	BLANK	1.0	0.00	0.00	3	3422
Bin_48	BLANK	1.0	0.00	0.00	3	4454
Bin_37	BLANK	1.0	0.00	0.00	4	4307
Bin_61	BLANK	1.0	0.00	0.00	9	10731
Bin_29	BLANK	1.0	0.00	0.00	2	3419
Bin_36	BLANK	1.0	0.00	0.00	8	13061
Bin_3	BLANK	1.0	0.00	0.00	3	4152
Bin_6	BLANK	1.0	0.00	0.00	3	3865
Bin_62	BLANK	1.0	0.00	0.00	1	1225
Bin_70	BLANK	1.0	0.00	0.00	1	1283
Bin_2	BLANK	1.0	0.00	0.00	1	1196
Bin_34	BLANK	1.0	0.00	0.00	5	7297
Bin_46	BLANK	1.0	0.00	0.00	1	1131
Bin_12	BLANK	1.0	0.00	0.00	1	1396
Bin_44	BLANK	1.0	0.00	0.00	1	1288
Bin_57	BLANK	1.0	0.00	0.00	1	1062
Bin_27	BLANK	1.0	0.00	0.00	3	4625
Bin_26	BLANK	1.0	0.00	0.00	2	2500
Bin_49	BLANK	1.0	0.00	0.00	2	2269
Bin_40	BLANK	1.0	0.00	0.00	3	3137
Bin_50	BLANK	1.0	0.00	0.00	1	1010
Bin_21	BLANK	1.0	0.00	0.00	1	1135
Bin_16	BLANK	1.0	0.00	0.00	1	1256
Bin_10	BLANK	1.0	0.00	0.00	1	1847
Bin_24	BLANK	1.0	0.00	0.00	1	2240
Bin_45	BLANK	1.0	0.00	0.00	1	1290
