genome_name	domain	confidence	per_completion	per_redundancy	num_splits	total_length
Aliiarcobacter_faecis_AF1078	BACTERIA	1.0	97.18	1.41	133	2496885
Aliiarcobacter_faecis_CCUG_66484	BACTERIA	1.0	97.18	1.41	122	2448998
Arcobacter_anaerophilus_DSM_24636_A	BACTERIA	1.0	97.18	0.00	156	2975533
Arcobacter_anaerophilus_DSM_24636_B	BACTERIA	1.0	97.18	0.00	150	3016922
Arcobacter_anaerophilus_IR_1	BACTERIA	1.0	97.18	1.41	161	3247305
Arcobacter_aquimarinus_CECT_8442	BACTERIA	1.0	95.77	2.82	132	2461253
Arcobacter_aquimarinus_W63	BACTERIA	1.0	97.18	2.82	126	2520808
Arcobacter_butzleri_7h1h	BACTERIA	1.0	97.18	1.41	112	2253233
Arcobacter_butzleri_ED_1	BACTERIA	1.0	97.18	1.41	112	2256675
Arcobacter_butzleri_JV22_A	BACTERIA	1.0	97.18	1.41	128	2302726
Arcobacter_butzleri_JV22_B	BACTERIA	1.0	97.18	1.41	114	2297844
Arcobacter_butzleri_L348	BACTERIA	1.0	95.77	1.41	205	2471357
Arcobacter_butzleri_L349	BACTERIA	1.0	97.18	1.41	132	2277932
Arcobacter_butzleri_L350	BACTERIA	1.0	97.18	1.41	145	2285472
Arcobacter_butzleri_L351	BACTERIA	1.0	97.18	1.41	151	2290244
Arcobacter_butzleri_L352	BACTERIA	1.0	97.18	1.41	125	2233660
Arcobacter_butzleri_L353	BACTERIA	1.0	95.77	1.41	117	2148038
Arcobacter_butzleri_L354	BACTERIA	1.0	95.77	1.41	133	2221793
Arcobacter_butzleri_L355	BACTERIA	1.0	95.77	1.41	123	2220910
Arcobacter_butzleri_RM4018	BACTERIA	1.0	97.18	1.41	117	2341251
Arcobacter_canalis_F138_33	BACTERIA	1.0	97.18	1.41	144	2782711
Arcobacter_canalis_LMG_29148	BACTERIA	1.0	97.18	1.41	141	2829476
Arcobacter_cibarius_LMG_21996	BACTERIA	1.0	97.18	1.41	110	2201349
Arcobacter_cloacae_CECT_7834	BACTERIA	1.0	97.18	1.41	218	2775030
Arcobacter_cloacae_F26	BACTERIA	1.0	97.18	1.41	130	2509393
Arcobacter_cloacae_LMG_26153	BACTERIA	1.0	97.18	1.41	140	2810923
Arcobacter_cryaerophilus_ATCC_43158_ATCC_43158	BACTERIA	1.0	98.59	1.41	105	2108340
Arcobacter_cryaerophilus_ATCC_43158_LMG_9904	BACTERIA	1.0	98.59	1.41	105	2107083
Arcobacter_cryaerophilus_D2610	BACTERIA	1.0	98.59	1.41	102	2055914
Arcobacter_defluvii_CECT_7697	BACTERIA	1.0	97.18	1.41	187	2938417
Arcobacter_defluvii_LMG_25694	BACTERIA	1.0	97.18	1.41	151	3021240
Arcobacter_ellisii_CECT_7837	BACTERIA	1.0	97.18	2.82	239	2799964
Arcobacter_ellisii_LMG_26155	BACTERIA	1.0	97.18	1.41	139	2799949
Arcobacter_halophilus_CCUG_53805	BACTERIA	1.0	97.18	0.00	139	2812536
Arcobacter_halophilus_DSM_18005	BACTERIA	1.0	97.18	0.00	166	2746292
Arcobacter_halophilus_F166_45	BACTERIA	1.0	97.18	0.00	154	2965780
Arcobacter_lanthieri_AF1430	BACTERIA	1.0	97.18	1.41	117	2236207
Arcobacter_lanthieri_AF1440	BACTERIA	1.0	97.18	1.41	117	2287768
Arcobacter_lanthieri_AF1581	BACTERIA	1.0	97.18	1.41	115	2260089
Arcobacter_lanthieri_LMG_28516	BACTERIA	1.0	97.18	1.41	113	2276457
Arcobacter_lekithochrous_DSM_100870	BACTERIA	1.0	97.18	1.41	177	3568672
Arcobacter_lekithochrous_LFT_1_7	BACTERIA	1.0	97.18	4.23	586	3607848
Arcobacter_lekithochrous_LMG_28652	BACTERIA	1.0	97.18	2.82	231	3502068
Arcobacter_marinus_CECT_7727	BACTERIA	1.0	97.18	0.00	215	2866788
Arcobacter_marinus_F140_37	BACTERIA	1.0	97.18	0.00	142	2779622
Arcobacter_marinus_JCM_15502	BACTERIA	1.0	97.18	0.00	144	2917098
Arcobacter_marinus_MARC_MIP3H16	BACTERIA	1.0	97.18	1.41	142	2901897
Arcobacter_marinus_SH_4D_Col1	BACTERIA	1.0	97.18	0.00	141	2818794
Arcobacter_molluscorum_LMG_25693_CECT_7696	BACTERIA	1.0	97.18	0.00	140	2800582
