assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	new_name	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_001695195.1	PRJNA282911	SAMN03580792	LCSK00000000.1		na		1935204	1935204	[Arcobacter] porcinus	strain=213		_Arcobacter_porcinus_213	latest	Contig	Major	Full	7/26/16	ASM169519v1	Ghent University	GCF_001695195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/195/GCA_001695195.1_ASM169519v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001695195.1/GCA_001695195.1_ASM169519v1_genomic.gbff.gz
GCA_001695235.1	PRJNA282917	SAMN03580808	LCSL00000000.1		na		1935204	1935204	[Arcobacter] porcinus	strain=216		_Arcobacter_porcinus_216	latest	Contig	Major	Full	7/26/16	ASM169523v1	Ghent University	GCF_001695235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/235/GCA_001695235.1_ASM169523v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001695235.1/GCA_001695235.1_ASM169523v1_genomic.gbff.gz
GCA_001695265.1	PRJNA283165	SAMN03609681	LDIR00000000.1		na		1935204	1935204	[Arcobacter] porcinus	strain=117434		_Arcobacter_porcinus_117434	latest	Contig	Major	Full	7/26/16	ASM169526v1	Ghent University	GCF_001695265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/265/GCA_001695265.1_ASM169526v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001695265.1/GCA_001695265.1_ASM169526v1_genomic.gbff.gz
GCA_001695315.1	PRJNA283166	SAMN03609682	LCUI00000000.1		na		1935204	1935204	[Arcobacter] porcinus	strain=DU19		_Arcobacter_porcinus_DU19	latest	Contig	Major	Full	7/26/16	ASM169531v1	Ghent University	GCF_001695315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/315/GCA_001695315.1_ASM169531v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001695315.1/GCA_001695315.1_ASM169531v1_genomic.gbff.gz
GCA_004299785.2	PRJNA521386	SAMN10884417			representative genome	assembly from type material	1935204	1935204	[Arcobacter] porcinus	strain=CCUG 56899		_Arcobacter_porcinus_CCUG_56899	latest	Complete Genome	Major	Full	9/13/19	ASM429978v2	USDA, ARS, WRRC	GCF_004299785.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/299/785/GCA_004299785.2_ASM429978v2	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004299785.2/GCA_004299785.2_ASM429978v2_genomic.gbff.gz
GCA_000585155.1	PRJNA235201	SAMN02951872	JARS00000000.1		representative genome	assembly from type material	1564138	1564138	Aliiarcobacter faecis	strain=AF1078		Aliiarcobacter_faecis_AF1078	latest	Scaffold	Major	Full	3/4/14	Arcobacter_septicus_AF1078	Agriculture and Agri-Food Canada	GCF_000585155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/155/GCA_000585155.1_Arcobacter_septicus_AF1078	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000585155.1/GCA_000585155.1_Arcobacter_septicus_AF1078_genomic.gbff.gz
GCA_013201705.1	PRJNA521381	SAMN10884413			na		1564138	1564138	Aliiarcobacter faecis	strain=CCUG 66484		Aliiarcobacter_faecis_CCUG_66484	latest	Complete Genome	Major	Full	6/1/20	ASM1320170v1	USDA, ARS, WRRC	GCF_013201705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/705/GCA_013201705.1_ASM1320170v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_013201705.1/GCA_013201705.1_ASM1320170v1_genomic.gbff.gz
GCA_000935065.1	PRJNA273926	SAMN03316823	JXXG00000000.1		na		877500	877500	Arcobacter anaerophilus	strain=IR-1		Arcobacter_anaerophilus_IR_1	latest	Contig	Major	Full	2/27/15	ASM93506v1	Centre for Geobiology	GCF_000935065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/935/065/GCA_000935065.1_ASM93506v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000935065.1/GCA_000935065.1_ASM93506v1_genomic.gbff.gz
GCA_004116345.1	PRJNA412344	SAMN07767207	PDKO00000000.1		na	assembly from type material	877500	877500	Arcobacter anaerophilus	strain=DSM 24636		Arcobacter_anaerophilus_DSM_24636_A	latest	Contig	Major	Full	1/28/19	ASM411634v1	Universitat Rovira i Virgili	GCF_004116345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/345/GCA_004116345.1_ASM411634v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004116345.1/GCA_004116345.1_ASM411634v1_genomic.gbff.gz
GCA_006459125.1	PRJNA521379	SAMN10884411			representative genome	assembly from type material	877500	877500	Arcobacter anaerophilus	strain=DSM 24636		Arcobacter_anaerophilus_DSM_24636_B	latest	Complete Genome	Major	Full	6/25/19	ASM645912v1	USDA, ARS, WRRC	GCF_006459125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/459/125/GCA_006459125.1_ASM645912v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_006459125.1/GCA_006459125.1_ASM645912v1_genomic.gbff.gz
GCA_004115795.1	PRJNA412344	SAMN07709792	NXIJ00000000.1		representative genome	assembly from type material	1315211	1315211	Arcobacter aquimarinus	strain=CECT 8442		Arcobacter_aquimarinus_CECT_8442	latest	Contig	Major	Full	1/28/19	ASM411579v1	Universitat Rovira i Virgili	GCF_004115795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/795/GCA_004115795.1_ASM411579v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004115795.1/GCA_004115795.1_ASM411579v1_genomic.gbff.gz
GCA_013177635.1	PRJNA284970	SAMN03737961			na		1315211	1315211	Arcobacter aquimarinus	strain=W63		Arcobacter_aquimarinus_W63	latest	Complete Genome	Major	Full	5/27/20	ASM1317763v1	USDA, ARS, WRRC	GCF_013177635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/177/635/GCA_013177635.1_ASM1317763v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_013177635.1/GCA_013177635.1_ASM1317763v1_genomic.gbff.gz
GCA_000215345.3	PRJNA67167	SAMN02604193			na		1036172	28197	Arcobacter butzleri 7h1h	strain=7h1h		Arcobacter_butzleri_7h1h	latest	Complete Genome	Major	Full	7/24/13	ASM21534v3	University of Liverpool	GCF_000215345.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/345/GCA_000215345.3_ASM21534v3	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000215345.3/GCA_000215345.3_ASM21534v3_genomic.gbff.gz
GCA_000284355.1	PRJDA61719	SAMD00060980			na		944546	28197	Arcobacter butzleri ED-1			Arcobacter_butzleri_ED-1	latest	Complete Genome	Major	Full	9/2/11	ASM28435v1	Center for Computational and Quantitative Life Science, RIKEN	GCF_000284355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/355/GCA_000284355.1_ASM28435v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000284355.1/GCA_000284355.1_ASM28435v1_genomic.gbff.gz
GCA_000185325.1	PRJNA53195	SAMN00210774	AEPT00000000.1		na		888827	28197	Arcobacter butzleri JV22	strain=JV22		Arcobacter_butzleri_JV22_A	latest	Scaffold	Major	Full	1/14/11	ASM18532v1	Baylor College of Medicine	GCF_000185325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/325/GCA_000185325.1_ASM18532v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000185325.1/GCA_000185325.1_ASM18532v1_genomic.gbff.gz
GCA_005886055.1	PRJNA543187	SAMN00210774			na		888827	28197	Arcobacter butzleri JV22	strain=JV22		Arcobacter_butzleri_JV22_B	latest	Complete Genome	Major	Full	5/29/19	ASM588605v1	University of Technology Sydney	GCF_005886055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/055/GCA_005886055.1_ASM588605v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_005886055.1/GCA_005886055.1_ASM588605v1_genomic.gbff.gz
GCA_001010585.1	PRJNA233527	SAMN02581416	JAIQ00000000.1		na		1447256	28197	Arcobacter butzleri L348	strain=L348	CHRB125	Arcobacter_butzleri_L348	latest	Scaffold	Major	Full	5/19/15	A.butzleri_L348_1.0	Agriculture and Agri-Food Canada	GCF_001010585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/585/GCA_001010585.1_A.butzleri_L348_1.0	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001010585.1/GCA_001010585.1_A.butzleri_L348_1.0_genomic.gbff.gz
GCA_001010605.1	PRJNA233527	SAMN02581417	JAIR00000000.1		na		1447257	28197	Arcobacter butzleri L349	strain=L349	CHRB1139	Arcobacter_butzleri_L349	latest	Scaffold	Major	Full	5/19/15	A.butzleri_L349_1.0	Agriculture and Agri-Food Canada	GCF_001010605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/605/GCA_001010605.1_A.butzleri_L349_1.0	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001010605.1/GCA_001010605.1_A.butzleri_L349_1.0_genomic.gbff.gz
GCA_001010665.1	PRJNA233527	SAMN02581418	JAIX00000000.1		na		1447258	28197	Arcobacter butzleri L350	strain=L350	CHRB1981	Arcobacter_butzleri_L350	latest	Scaffold	Major	Full	5/19/15	A.butzleri_L350_1.0	Agriculture and Agri-Food Canada	GCF_001010665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/665/GCA_001010665.1_A.butzleri_L350_1.0	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001010665.1/GCA_001010665.1_A.butzleri_L350_1.0_genomic.gbff.gz
GCA_001010615.1	PRJNA233527	SAMN02581419	JAIS00000000.1		na		1447259	28197	Arcobacter butzleri L351	strain=L351	CHRB3201	Arcobacter_butzleri_L351	latest	Scaffold	Major	Full	5/19/15	A.butzleri_L351_1.0	Agriculture and Agri-Food Canada	GCF_001010615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/615/GCA_001010615.1_A.butzleri_L351_1.0	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001010615.1/GCA_001010615.1_A.butzleri_L351_1.0_genomic.gbff.gz
GCA_001010675.1	PRJNA233527	SAMN02581420	JAIT00000000.1		na		1447260	28197	Arcobacter butzleri L352	strain=L352	CHRB3515	Arcobacter_butzleri_L352	latest	Contig	Major	Full	5/19/15	A.butzleri_L352_1.0	Agriculture and Agri-Food Canada	GCF_001010675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/675/GCA_001010675.1_A.butzleri_L352_1.0	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001010675.1/GCA_001010675.1_A.butzleri_L352_1.0_genomic.gbff.gz
GCA_001010695.1	PRJNA233527	SAMN02581421	JAIU00000000.1		na		1447261	28197	Arcobacter butzleri L353	strain=L353	Cryptic339	Arcobacter_butzleri_L353	latest	Scaffold	Major	Full	5/19/15	A.butzleri_L353_1.0	Agriculture and Agri-Food Canada	GCF_001010695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/695/GCA_001010695.1_A.butzleri_L353_1.0	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001010695.1/GCA_001010695.1_A.butzleri_L353_1.0_genomic.gbff.gz
GCA_001010595.1	PRJNA233527	SAMN02581422	JAIV00000000.1		na		1447262	28197	Arcobacter butzleri L354	strain=L354	Cryptic661	Arcobacter_butzleri_L354	latest	Scaffold	Major	Full	5/19/15	A.butzleri_L354_1.0	Agriculture and Agri-Food Canada	GCF_001010595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/595/GCA_001010595.1_A.butzleri_L354_1.0	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001010595.1/GCA_001010595.1_A.butzleri_L354_1.0_genomic.gbff.gz
GCA_001010715.1	PRJNA233527	SAMN02581423	JAIW00000000.1		na		1447263	28197	Arcobacter butzleri L355	strain=L355	WA08_4979	Arcobacter_butzleri_L355	latest	Scaffold	Major	Full	5/19/15	A.butzleri_L355_1.0	Agriculture and Agri-Food Canada	GCF_001010715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/715/GCA_001010715.1_A.butzleri_L355_1.0	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001010715.1/GCA_001010715.1_A.butzleri_L355_1.0_genomic.gbff.gz
GCA_000014025.1	PRJNA16319	SAMN02604276			representative genome	assembly from type material	367737	28197	Arcobacter butzleri RM4018	strain=RM4018		Arcobacter_butzleri_RM4018	latest	Complete Genome	Major	Full	9/27/07	ASM1402v1	USDA - Agricultural Research Service, USA	GCF_000014025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/025/GCA_000014025.1_ASM1402v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000014025.1/GCA_000014025.1_ASM1402v1_genomic.gbff.gz
GCA_002723485.1	PRJNA369468	SAMN07360936	NWVW00000000.1		na	assembly from type material	1912871	1912871	Arcobacter canalis	strain=F138-33		Arcobacter_canalis_F138_33	latest	Contig	Major	Full	10/24/17	ASM272348v1	Universitat Rovira i Virgili	GCF_002723485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/485/GCA_002723485.1_ASM272348v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002723485.1/GCA_002723485.1_ASM272348v1_genomic.gbff.gz
GCA_008000835.1	PRJNA558025	SAMN12421742			representative genome	assembly from type material	1912871	1912871	Arcobacter canalis	strain=LMG 29148		Arcobacter_canalis_LMG_29148	latest	Complete Genome	Major	Full	8/17/19	ASM800083v1	USDA, ARS, WRRC	GCF_008000835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/000/835/GCA_008000835.1_ASM800083v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_008000835.1/GCA_008000835.1_ASM800083v1_genomic.gbff.gz
