unique_id	genome_name	kegg_module	module_name	module_class	module_category	module_subcategory	module_definition	module_completeness	module_is_complete	kofam_hits_in_module	gene_caller_ids_in_module	warnings
0	WATER_MAG_00001	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K00844,K12407,K00845,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)	0.9	TRUE	K00134,K00873,K01803,K00845,K01689,K15633,K01624,K00927,K01810	28527;32605;33474;43796;10031;13823;7176;10040;18644;8801;2710;58181	None
1	WATER_MAG_00001	M00002	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)	1	TRUE	K00134,K00873,K01803,K01689,K15633,K00927	28527;32605;33474;10031;13823;7176;18644	None
2	WATER_MAG_00001	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)	0.75	TRUE	K00134,K01803,K01689,K15633,K01624,K00927	28527;33474;10031;13823;7176;10040;18644	None
3	WATER_MAG_00001	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737	0.75	TRUE	K00382,K00161,K00162	31123;31134;8975	None
4	WATER_MAG_00001	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K01647,K05942) (K01681,K01682) (K00031,K00030) (K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)	0.75	TRUE	K00382,K01647,K00116,K00240,K00241,K01682,K00031,K01679	31123;62954;51476;10276;10278;6424;5133;13190;29288	None
5	WATER_MAG_00001	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K01647,K05942) (K01681,K01682) (K00031,K00030)	1	TRUE	K01647,K01682,K00031	62954;6424;13190	None
6	WATER_MAG_00001	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)	0.6	FALSE	K00382,K00116,K00240,K00241,K01679	31123;51476;10276;10278;5133;29288	None
7	WATER_MAG_00001	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 K00616 (K01810,K06859,K13810,K15916)	1	TRUE	K00033,K00615,K01783,K01807,K00036,K01057,K00616,K01810	35403;30143;31633;27563;39087;18454;19604;20766;14516;8801;2710;19605;35402	None
8	WATER_MAG_00001	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K13937,((K00036,K19243) (K01057,K07404))) K00033	1	TRUE	K00033,K00036,K01057	35403;18454;19604;19605;35402	None
9	WATER_MAG_00001	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K00615 (K00616,K13810) K01783 (K01807,K01808)	1	TRUE	K00615,K01783,K01807,K00616	30143;31633;27563;39087;20766;14516	None
10	WATER_MAG_00001	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K08094 (K08093,K13812),K13831) K01807	0.5	FALSE	K01807	39087	None
11	WATER_MAG_00001	M00005	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K00948	1	TRUE	K00948	41266	None
12	WATER_MAG_00001	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K00036 (K01057,K07404) K01690 K01625	0.75	TRUE	K00036,K01057,K01625	18454;19604;35402;40142	None
13	WATER_MAG_00001	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K05308 K00874 K01625 (K00134 K00927,K00131,K18978)	0.6	FALSE	K00134,K00927,K01625	28527;10031;18644;40142	None
14	WATER_MAG_00001	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)	0.2	FALSE	K01625	40142	None
15	WATER_MAG_00001	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01812 K00040 (K01686,K08323) K00874 (K01625,K17463)	0.2	FALSE	K01625	40142	None
16	WATER_MAG_00001	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01684 K00883 K01631 K00134 K00927	0.4	FALSE	K00134,K00927	28527;10031;18644	None
17	WATER_MAG_00001	M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)	1	TRUE	K00975,K00700,K00703,K16149	27560;35404;52469;40777;10133	None
18	WATER_MAG_00001	M00855	Glycogen degradation, glycogen => glucose-6P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00688,K16153) (K01196,((K00705,K22451) (K02438,K01200))) (K15779,K01835,K15778)	0.5	FALSE	K00688,K00705	40246;38967;14146	None
19	WATER_MAG_00001	M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00975 K00703 (K00700,K16149) K01214 K06044 K01236	0.5	FALSE	K00975,K00700,K00703,K16149	27560;35404;52469;40777;10133	None
