genome_id	isolation_category	organism	strain_or_isolate	sample_information	bioproject	biosample	assembly_accession	taxid	species_taxid	doi_publication	assembly_level	seq_rel_date	ftp_path	submitter
_Arcobacter_porcinus_117434	vertebrate_host	[Arcobacter] porcinus	117434	pig|aborted fetus tissue	PRJNA283165	SAMN03609681	GCA_001695265.1	1935204	1935204	no pub	Contig	7/26/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/265/GCA_001695265.1_ASM169526v1	Ghent University
_Arcobacter_porcinus_213	vertebrate_host	[Arcobacter] porcinus	213	Pig|slaughter house|Pig feces	PRJNA282911	SAMN03580792	GCA_001695195.1	1935204	1935204	no pub	Contig	7/26/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/195/GCA_001695195.1_ASM169519v1	Ghent University
_Arcobacter_porcinus_216	vertebrate_host	[Arcobacter] porcinus	216	pig|feces	PRJNA282917	SAMN03580808	GCA_001695235.1	1935204	1935204	no pub	Contig	7/26/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/235/GCA_001695235.1_ASM169523v1	Ghent University
_Arcobacter_porcinus_CCUG_56899	vertebrate_host	[Arcobacter] porcinus	CCUG 56899	Aborted piglet fetus	PRJNA521386	SAMN10884417	GCA_004299785.2	1935204	1935204	doi.org/10.1016/j.nmni.2016.11.014	Complete Genome	9/13/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/299/785/GCA_004299785.2_ASM429978v2	USDA, ARS, WRRC
_Arcobacter_porcinus_DU19	vertebrate_host	[Arcobacter] porcinus	DU19	Duck|cloaca content	PRJNA283166	SAMN03609682	GCA_001695315.1	1564138	1935204	no pub	Contig	7/26/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/315/GCA_001695315.1_ASM169531v1	Ghent University
Aliiarcobacter_faecis_AF1078	sewage	Aliiarcobacter faecis	AF1078	Homo sapiens|human sewage tank no 10	PRJNA235201	SAMN02951872	GCA_000585155.1	877500	1564138	doi.org/10.3389/fmicb.2018.02077	Scaffold	3/4/14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/155/GCA_000585155.1_Arcobacter_septicus_AF1078	Agriculture and Agri-Food Canada
Arcobacter_anaerophilus_DSM_24636_A	marine_subsurface	Arcobacter anaerophilus	DSM 24636	Estuarine sediment	PRJNA412344	SAMN07767207	GCA_004116345.1	877500	877500	doi.org/10.3389/fmicb.2018.02077	Contig	1/28/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/345/GCA_004116345.1_ASM411634v1	Universitat Rovira i Virgili
Arcobacter_anaerophilus_IR_1	marine_subsurface	Arcobacter anaerophilus	IR-1	Aquifer	PRJNA273926	SAMN03316823	GCA_000935065.1	1315211	877500	doi.org/10.3389/fmicb.2015.00987	Contig	2/27/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/935/065/GCA_000935065.1_ASM93506v1	Centre for Geobiology
Arcobacter_aquimarinus_CECT_8442	marine_surface	Arcobacter aquimarinus	CECT 8442	Mediterranean sea	PRJNA412344	SAMN07709792	GCA_004115795.1	944546	1315211	doi.org/10.3389/fmicb.2018.02077	Contig	1/28/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/795/GCA_004115795.1_ASM411579v1	Universitat Rovira i Virgili
Arcobacter_butzleri_ED_1	fuel_cell	Arcobacter butzleri ED-1	ED-1	fuel_cell	PRJDA61719	SAMD00060980	GCA_000284355.1	888827	28197	doi.org/10.1128/JB.06084-11	Complete Genome	9/2/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/355/GCA_000284355.1_ASM28435v1	Center for Computational and Quantitative Life Science, RIKEN
Arcobacter_butzleri_JV22_A	vertebrate_host	Arcobacter butzleri JV22	JV22	Homo sapiens|gastrointestinal tract	PRJNA53195	SAMN00210774	GCA_000185325.1	1447256	28197	no pub	Scaffold	1/14/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/325/GCA_000185325.1_ASM18532v1	Baylor College of Medicine
Arcobacter_butzleri_L348	sewage	Arcobacter butzleri L348	L348	Sewage Outfall	PRJNA233527	SAMN02581416	GCA_001010585.1	1447257	28197	doi.org/10.1186/s12866-015-0426-4	Scaffold	5/19/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/585/GCA_001010585.1_A.butzleri_L348_1.0	Agriculture and Agri-Food Canada
Arcobacter_butzleri_L349	vertebrate_host	Arcobacter butzleri L349	L349	Diarrheic Human Stool	PRJNA233527	SAMN02581417	GCA_001010605.1	1447259	28197	doi.org/10.1186/s12866-015-0426-4	Scaffold	5/19/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/605/GCA_001010605.1_A.butzleri_L349_1.0	Agriculture and Agri-Food Canada
Arcobacter_butzleri_L351	vertebrate_host	Arcobacter butzleri L351	L351	Healthy Human Stool	PRJNA233527	SAMN02581419	GCA_001010615.1	1447260	28197	doi.org/10.1186/s12866-015-0426-4	Scaffold	5/19/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/615/GCA_001010615.1_A.butzleri_L351_1.0	Agriculture and Agri-Food Canada
Arcobacter_butzleri_L352	vertebrate_host	Arcobacter butzleri L352	L352	Diarrheic Human Stool	PRJNA233527	SAMN02581420	GCA_001010675.1	367737	28197	doi.org/10.1186/s12866-015-0426-4	Contig	5/19/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/675/GCA_001010675.1_A.butzleri_L352_1.0	Agriculture and Agri-Food Canada
Arcobacter_butzleri_RM4018	vertebrate_host	Arcobacter butzleri RM4018	RM4018	human	PRJNA16319	SAMN02604276	GCA_000014025.1	1912871	28197	doi.org/10.1371/journal.pone.0001358	Complete Genome	9/27/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/025/GCA_000014025.1_ASM1402v1	USDA - Agricultural Research Service, USA
Arcobacter_canalis_F138_33	invertebrate_host	Arcobacter canalis	F138-33	oysters	PRJNA369468	SAMN07360936	GCA_002723485.1	1442598	1912871	doi.org/10.3389/fmicb.2018.02077	Contig	10/24/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/485/GCA_002723485.1_ASM272348v1	Universitat Rovira i Virgili
Arcobacter_cibarius_LMG_21996	vertebrate_host	Arcobacter cibarius LMG 21996	LMG 21996	chicken|broiler skin	PRJNA232856	SAMN02641481	GCA_000522465.1	1054034	255507	doi.org/10.1128/genomeA.00034-14	Contig	1/23/14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/522/465/GCA_000522465.1_Arcobacter_cibarius_LMG21996	Agriculture and Agri-Food Canada
Arcobacter_cloacae_CECT_7834	sewage	Arcobacter cloacae	CECT 7834	Sewage	PRJNA412344	SAMN07709793	GCA_004115805.1	1054034	1054034	doi.org/10.3389/fmicb.2018.02077	Contig	1/28/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/805/GCA_004115805.1_ASM411580v1	Universitat Rovira i Virgili
Arcobacter_cloacae_F26	invertebrate_host	Arcobacter cloacae	F26	mussel	PRJNA412344	SAMN07767222	GCA_004116535.1	1032070	1054034	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/535/GCA_004116535.1_ASM411653v1	Universitat Rovira i Virgili
Arcobacter_cryaerophilus_ATCC_43158	vertebrate_host	Arcobacter cryaerophilus ATCC 43158	ATCC 43158	bovine|Aborted bovine fetus, brain	PRJNA66817	SAMN03737948	GCA_003660105.1	1032071	28198	doi.org/10.1128/MRA.01463-18	Complete Genome	10/16/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/660/105/GCA_003660105.1_ASM366010v1	USDA, ARS, WRRC
Arcobacter_cryaerophilus_D2610	vertebrate_host	Arcobacter cryaerophilus D2610	D2610	Homo sapiens|blood	PRJNA66819	SAMN03737949	GCA_003660085.1	873191	28198	doi.org/10.1128/MRA.01463-18	Complete Genome	10/16/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/660/085/GCA_003660085.1_ASM366008v1	USDA, ARS, WRRC
Arcobacter_defluvii_CECT_7697	sewage	Arcobacter defluvii	CECT 7697	Sewage	PRJNA412344	SAMN07709794	GCA_004115775.1	913109	873191	doi.org/10.3389/fmicb.2018.02077	Contig	1/28/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/775/GCA_004115775.1_ASM411577v1	Universitat Rovira i Virgili
Arcobacter_ellisii_CECT_7837	invertebrate_host	Arcobacter ellisii	CECT 7837	Mussel	PRJNA412344	SAMN07709795	GCA_004115815.1	197482	913109	doi.org/10.3389/fmicb.2018.02077	Contig	1/28/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/815/GCA_004115815.1_ASM411581v1	Universitat Rovira i Virgili
Arcobacter_halophilus_DSM_18005	marine_surface	Arcobacter halophilus	DSM 18005	Hipersaline lagoon	PRJNA412344	SAMN07709796	GCA_002837275.1	197482	197482	doi.org/10.3389/fmicb.2018.02077	Scaffold	12/12/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/837/275/GCA_002837275.1_ASM283727v1	Universitat Rovira i Virgili
Arcobacter_halophilus_F166_45	invertebrate_host	Arcobacter halophilus	F166-45	oyster	PRJNA412344	SAMN07767223	GCA_004135665.1	1355374	197482	doi.org/10.3389/fmicb.2018.02077	Contig	2/4/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/135/665/GCA_004135665.1_ASM413566v1	Universitat Rovira i Virgili
Arcobacter_lanthieri_AF1440	vertebrate_host	Arcobacter lanthieri	AF1440	pig|female pig fecal storage tank	PRJNA235329	SAMN02951874	GCA_000585115.1	1355374	1355374	doi.org/10.1128/genomeA.00377-14	Contig	3/3/14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/115/GCA_000585115.1_Arcobacter_lanthierii_AF1440	Agriculture and Agri-Food Canada
Arcobacter_lanthieri_AF1581	vertebrate_host	Arcobacter lanthieri	AF1581	cattle|dairy cow manure storage tank	PRJNA235330	SAMN02951875	GCA_000585195.1	1904463	1355374	doi.org/10.1128/genomeA.00377-14	Scaffold	3/4/14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/195/GCA_000585195.1_Arcobacter_lanthierii_AF1581	Agriculture and Agri-Food Canada
